merge_key,GT,ET1_Label,ET1_Z3,ET2_Label,ET2_Z3,CPA_Pred,CPA_Raw
2Nested_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
3pieces_Caterina_TACAS16.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
3pieces_Caterina_TACAS16_modif_1.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
3pieces_Caterina_TACAS16_modif_2.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,unknown,MAYBE
3pieces_Caterina_TACAS16_modif_3.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
3pieces_Caterina_TACAS16_nonterm.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
4NestedWith2Variables_false-no-overflow.c,terminating,error,,terminating,Failed: Not Decreasing,unknown,MAYBE
4NestedWith3Variables_false-no-overflow.c,terminating,error,,error,,unknown,MAYBE
AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Invariants Not Inductive,terminating,YES
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
AlternDivWidening_false-no-overflow_false-termination-simplified.c,non-terminating,non-terminating,Failed: Not Decreasing,terminating,Skipped,unknown,MAYBE
AlternDivWidening_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
AlternKonv_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Potential Non-Termination (2-Cycle Found),non-terminating,NO
Bangalore_v3_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Error: Unknown verification output...,non-terminating,Failed: Not Decreasing,non-terminating,NO
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-broken1.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-broken2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-broken3.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-broken4.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified1.c,terminating,non-terminating,Skipped,non-terminating,Skipped,terminating,YES
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified2.c,terminating,error,,non-terminating,Skipped,unknown,MAYBE
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c,terminating,non-terminating,Skipped,non-terminating,Skipped,terminating,YES
BradleyMannaSipma-ICALP2005-Fig1_true-termination-broken1.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
BradleyMannaSipma-ICALP2005-Fig1_true-termination-broken2.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Invariants Not Inductive,non-terminating,NO
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
Cairo_nondet_false-no-overflow.c,non-terminating,terminating,Verified,non-terminating,Failed: Not Bounded,non-terminating,NO
Cairo_step2_false-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Invariants Not Inductive,non-terminating,NO
Cairo_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Failed: Not Bounded,terminating,Verified,terminating,YES
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c,terminating,non-terminating,Skipped,error,,non-terminating,NO
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,terminating,non-terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination-broken.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,terminating,non-terminating,Skipped,non-terminating,Skipped,terminating,YES
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No ranking function provided,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-broken.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1.c,terminating,terminating,Failed: No ranking function provided,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5.c,terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6.c,terminating,error,,non-terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow.c,terminating,terminating,Failed: No ranking function provided,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,non-terminating,terminating,Failed: Not Decreasing,terminating,Failed: No ranking function provided,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow.c,terminating,non-terminating,Skipped,error,,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Error: Unknown verification output...,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination-broken.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,terminating,YES
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Error: Unknown verification output...,non-terminating,NO
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,terminating,YES
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2.c,terminating,terminating,Skipped,error,,unknown,MAYBE
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
Choose_false-no-overflow_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
ComplInterv2_false-termination_true-no-overflow.c,non-terminating,terminating,Verified,non-terminating,Error: Unknown verification output...,non-terminating,NO
ComplInterv_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: No ranking function provided,non-terminating,Failed: No Ranking Function Provided,non-terminating,NO
ConvLower_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Failed: Not Decreasing,terminating,YES
