Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error
Swingers_false-termination_true-no-overflow-version-1.c,c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-1.c,2285b9708b214050af86cd386b3d7204,2025-12-17T17:17:24.095718,84.87,4,terminating,0.0,,max - bob,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_171724_2285b9708b214050af86cd386b3d7204.json,
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,c_bench_nonterm/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,c94427c2ac4445ffa3a8b36f4fc3f6f9,2025-12-17T17:18:00.258529,36.16,4,non-terminating,0.0,,maxId - tmp + 1,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_171800_c94427c2ac4445ffa3a8b36f4fc3f6f9.json,
nterm_ever_07.c,c_bench_nonterm/nterm_ever_07.c,f9342e5a375e47a2a0d9c51e89dfdfab,2025-12-17T17:18:36.073987,35.82,4,non-terminating,0.0,,abs(x - 10),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_171836_f9342e5a375e47a2a0d9c51e89dfdfab.json,
Et4_false-no-overflow_false-termination.c,c_bench_nonterm/Et4_false-no-overflow_false-termination.c,07ecb60593824f22a23cdc7b442b1267,2025-12-17T17:20:40.886084,124.81,3,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172040_07ecb60593824f22a23cdc7b442b1267.json,
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,c_bench_nonterm/PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,1b0718ce539e499fb9528c2ae0956888,2025-12-17T17:21:00.723431,19.84,3,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172100_1b0718ce539e499fb9528c2ae0956888.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,5f9dcd8b17674b87b427143f72a09693,2025-12-17T17:21:59.967264,59.24,4,terminating,0.0,,y - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172159_5f9dcd8b17674b87b427143f72a09693.json,
NoriSharma-2013FSE-Fig8-true-termination-broken.c,c_bench_nonterm/NoriSharma-2013FSE-Fig8-true-termination-broken.c,d145b0597709435f9be66a824dac2907,2025-12-17T17:22:17.447047,17.48,3,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172217_d145b0597709435f9be66a824dac2907.json,
NonTerminationSimple8_false-termination_true-valid-memsafety.c,c_bench_nonterm/NonTerminationSimple8_false-termination_true-valid-memsafety.c,db8575b395954ca9bbc03b1338de9a00,2025-12-17T17:22:40.839232,23.39,3,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172240_db8575b395954ca9bbc03b1338de9a00.json,
nonlin_choices_1.c,c_bench_nonterm/nonlin_choices_1.c,d250521192ec40619dbc7e9e852471e1,2025-12-17T17:23:06.874410,26.03,3,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172306_d250521192ec40619dbc7e9e852471e1.json,
aviad_true-termination_true-no-overflow-broken1.c,c_bench_nonterm/aviad_true-termination_true-no-overflow-broken1.c,d3ad066d413a4e49b08352fa76ac3db3,2025-12-17T17:24:18.602896,71.73,4,non-terminating,0.0,,null,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251217_172418_d3ad066d413a4e49b08352fa76ac3db3.json,
