Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error
Swingers_false-termination_true-no-overflow-version-1.c,c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-1.c,14ea1deba3404485bbd1c36fc4e4ca49,2025-12-18T10:47:48.997304,20.59,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_104748_14ea1deba3404485bbd1c36fc4e4ca49.json,
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,c_bench_nonterm/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,4eb79db06e6c4162a2e0bbf68cb80e0d,2025-12-18T10:49:34.379783,105.38,3,non-terminating,0.0,,maxId - tmp + 1,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_104934_4eb79db06e6c4162a2e0bbf68cb80e0d.json,
nterm_ever_07.c,c_bench_nonterm/nterm_ever_07.c,47302f9a7949491eb55d6c2a4f3f13f5,2025-12-18T10:50:04.149439,29.77,3,non-terminating,0.0,,abs(x - 10),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105004_47302f9a7949491eb55d6c2a4f3f13f5.json,
Et4_false-no-overflow_false-termination.c,c_bench_nonterm/Et4_false-no-overflow_false-termination.c,cc86fb9734f041bfba38ca9f89a1efe3,2025-12-18T10:50:39.361782,35.21,3,non-terminating,0.0,,b - c,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105039_cc86fb9734f041bfba38ca9f89a1efe3.json,
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,c_bench_nonterm/PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,6bbf31bd9113440684c143a52906170e,2025-12-18T10:50:55.494642,16.13,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105055_6bbf31bd9113440684c143a52906170e.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,fe4d8330e5d649cbab7059da1bec4a93,2025-12-18T10:52:04.236143,68.74,3,terminating,0.0,,null,Failed: No ranking function provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105204_fe4d8330e5d649cbab7059da1bec4a93.json,
NoriSharma-2013FSE-Fig8-true-termination-broken.c,c_bench_nonterm/NoriSharma-2013FSE-Fig8-true-termination-broken.c,6fe5b3b577f94ad28892190ebb77880c,2025-12-18T10:52:40.018880,35.78,3,non-terminating,0.0,,"(x - y, z)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105240_6fe5b3b577f94ad28892190ebb77880c.json,
NonTerminationSimple8_false-termination_true-valid-memsafety.c,c_bench_nonterm/NonTerminationSimple8_false-termination_true-valid-memsafety.c,b355181c1712465dbe6336718ba65679,2025-12-18T10:52:55.942726,15.92,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105255_b355181c1712465dbe6336718ba65679.json,
nonlin_choices_1.c,c_bench_nonterm/nonlin_choices_1.c,9ca2543c98a74293931751c8fa5834e5,2025-12-18T10:53:47.453888,51.51,3,non-terminating,0.0,,x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105347_9ca2543c98a74293931751c8fa5834e5.json,
aviad_true-termination_true-no-overflow-broken1.c,c_bench_nonterm/aviad_true-termination_true-no-overflow-broken1.c,f3693616b0914b86ba1a4a4a7b4a7e67,2025-12-18T10:54:53.588010,66.13,3,non-terminating,0.0,,a,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105453_f3693616b0914b86ba1a4a4a7b4a7e67.json,
Choose_false-no-overflow_false-termination.c,c_bench_nonterm/Choose_false-no-overflow_false-termination.c,9193d452f3684859b6a331c041045449,2025-12-18T10:55:11.511909,17.92,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105511_9193d452f3684859b6a331c041045449.json,
nterm_14_cex.c,c_bench_nonterm/nterm_14_cex.c,e55098721d094c5288eaddd5a64849cf,2025-12-18T10:55:57.185963,45.67,3,non-terminating,0.0,,"(j + 4, d + 4)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105557_e55098721d094c5288eaddd5a64849cf.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination-broken.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination-broken.c,0f5af2a87b424e2eb2afd912ba6adc9b,2025-12-18T10:56:44.017574,46.83,3,non-terminating,0.0,,x - y,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105644_0f5af2a87b424e2eb2afd912ba6adc9b.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,00337d85627e40b0ac105521acd1cc46,2025-12-18T10:59:09.048841,145.03,3,non-terminating,0.0,,null,Error: Unknown verification output...,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105909_00337d85627e40b0ac105521acd1cc46.json,
nonlin_mult_nonterm_4.c,c_bench_nonterm/nonlin_mult_nonterm_4.c,a49ad41e8d5b4156970ded8fee366e55,2025-12-18T10:59:29.488017,20.44,2,terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_105929_a49ad41e8d5b4156970ded8fee366e55.json,
Even_false-no-overflow_false-termination.c,c_bench_nonterm/Even_false-no-overflow_false-termination.c,2a234276dda34e44ae4291a1b3195825,2025-12-18T11:00:03.122070,33.63,3,non-terminating,0.0,,i % 2 == 0 ? i / 2 : (i - 1) / 2,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110003_2a234276dda34e44ae4291a1b3195825.json,
NO_24_false-termination_true-no-overflow.c,c_bench_nonterm/NO_24_false-termination_true-no-overflow.c,1c24a16f5c054760ad4029b25284d6ff,2025-12-18T11:00:40.913364,37.79,3,non-terminating,0.0,,5 - (a + b),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110040_1c24a16f5c054760ad4029b25284d6ff.json,
choices_div_3.c,c_bench_nonterm/choices_div_3.c,c89be28eadf4436292d3252e6869ba1f,2025-12-18T11:01:21.008612,40.10,3,non-terminating,0.0,,null,Failed: No Ranking Function Proposed,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110121_c89be28eadf4436292d3252e6869ba1f.json,
nterm_ever_02.c,c_bench_nonterm/nterm_ever_02.c,478ef48a5bd34eb691e44ffe95df4a42,2025-12-18T11:01:55.964574,34.96,3,non-terminating,0.0,,-j,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110155_478ef48a5bd34eb691e44ffe95df4a42.json,
LeikeHeizmann-WST2014-Ex5_false-termination.c,c_bench_nonterm/LeikeHeizmann-WST2014-Ex5_false-termination.c,c99b5f478a0148f7a0e2edd31a24ce8a,2025-12-18T11:03:32.298074,96.33,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110332_c99b5f478a0148f7a0e2edd31a24ce8a.json,
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination_true-no-overflow.c,c_bench_nonterm/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination_true-no-overflow.c,4bb26c5d634e4fc2b6bc5fd9193ea3a4,2025-12-18T11:04:27.896585,55.60,3,non-terminating,0.0,,null,Failed: No ranking function provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110427_4bb26c5d634e4fc2b6bc5fd9193ea3a4.json,
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow-broken-3.c,c_bench_nonterm/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow-broken-3.c,2cdede26c6ac4b15a5890359cc5da51a,2025-12-18T11:05:45.688386,77.79,2,terminating,0.0,,K - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110545_2cdede26c6ac4b15a5890359cc5da51a.json,
determ_nterm_2.c,c_bench_nonterm/determ_nterm_2.c,20048a2e4c8345a1a743dfdaa65f16ea,2025-12-18T11:06:22.637343,36.95,3,non-terminating,0.0,,null,Failed: No Ranking Function Provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110622_20048a2e4c8345a1a743dfdaa65f16ea.json,
nterm_19_cex.c,c_bench_nonterm/nterm_19_cex.c,27d5ba2ff2e94a2e93b826c0f6462f81,2025-12-18T11:06:52.673671,30.04,3,terminating,0.0,,abs(x - K) + abs(y - K),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110652_27d5ba2ff2e94a2e93b826c0f6462f81.json,
nterm_ever_14.c,c_bench_nonterm/nterm_ever_14.c,edbe03d5c07245b99b41d8ebfff36638,2025-12-18T11:07:51.114510,58.44,3,non-terminating,0.0,,z,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110751_edbe03d5c07245b99b41d8ebfff36638.json,
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-no-overflow.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-no-overflow.c,e59b5457895c48b4aa4c8f737fdce488,2025-12-18T11:08:08.106158,16.99,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110808_e59b5457895c48b4aa4c8f737fdce488.json,
nterm_01_cex.c,c_bench_nonterm/nterm_01_cex.c,721b1fc670284e8e85e9b380211c02ac,2025-12-18T11:08:33.936513,25.83,3,non-terminating,0.0,,null,Failed: No Ranking Function Provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110833_721b1fc670284e8e85e9b380211c02ac.json,
aviad_true-termination_true-no-overflow-broken2.c,c_bench_nonterm/aviad_true-termination_true-no-overflow-broken2.c,71d1782fef8047c7ace20b30cf67f248,2025-12-18T11:09:37.055105,63.12,3,terminating,0.0,,null,Failed: Non-terminating cycle detected (2 -> 4 -> 6 -> 2),/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_110937_71d1782fef8047c7ace20b30cf67f248.json,
NarrowKonv_false-termination_true-no-overflow.c,c_bench_nonterm/NarrowKonv_false-termination_true-no-overflow.c,7a166750fcdd40f1bfaeecbd7cfcdba3,2025-12-18T11:10:35.342006,58.29,3,terminating,0.0,,"(range, i)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111035_7a166750fcdd40f1bfaeecbd7cfcdba3.json,
nterm_12_cex.c,c_bench_nonterm/nterm_12_cex.c,2ad27e48e0614c1885d3a6d181979afb,2025-12-18T11:10:51.350308,16.01,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111051_2ad27e48e0614c1885d3a6d181979afb.json,
Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c,c_bench_nonterm/Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c,da0a98cbb97a4d4e8b858620dee0ee68,2025-12-18T11:13:06.786397,135.44,3,non-terminating,0.0,,"(x, y)",Error: Unknown verification output...,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111306_da0a98cbb97a4d4e8b858620dee0ee68.json,
nonlin_mult_nonterm_2.c,c_bench_nonterm/nonlin_mult_nonterm_2.c,ea8b69aa61cb4b069927ac73df5b5971,2025-12-18T11:13:40.750742,33.96,3,non-terminating,0.0,,null,Failed: No ranking function provided and loop does not terminate,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111340_ea8b69aa61cb4b069927ac73df5b5971.json,
