file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,aeval_split,path
Swingers_false-termination_true-no-overflow-version-1.c,FAILED,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Swingers_false-termination_true-no-overflow-version-1.c_lasso_out,,,,,0.61,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-1.c
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c_lasso_out,,,,,1.66,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c
nterm_ever_07.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_ever_07.c_lasso_out,,,,,14.76,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_ever_07.c
Et4_false-no-overflow_false-termination.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Et4_false-no-overflow_false-termination.c_lasso_out,,,,,1.44,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Et4_false-no-overflow_false-termination.c
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c_lasso_out,,,,,1.6,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c_lasso_out,,,,,1.43,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-no-overflow.c
NoriSharma-2013FSE-Fig8-true-termination-broken.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/NoriSharma-2013FSE-Fig8-true-termination-broken.c_lasso_out,,,,,1.76,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/NoriSharma-2013FSE-Fig8-true-termination-broken.c
NonTerminationSimple8_false-termination_true-valid-memsafety.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/NonTerminationSimple8_false-termination_true-valid-memsafety.c_lasso_out,,,,,1.48,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/NonTerminationSimple8_false-termination_true-valid-memsafety.c
nonlin_choices_1.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nonlin_choices_1.c_lasso_out,,,,,1.49,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nonlin_choices_1.c
aviad_true-termination_true-no-overflow-broken1.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/aviad_true-termination_true-no-overflow-broken1.c_lasso_out,,,,,1.44,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/aviad_true-termination_true-no-overflow-broken1.c
Choose_false-no-overflow_false-termination.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Choose_false-no-overflow_false-termination.c_lasso_out,,,,,1.89,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Choose_false-no-overflow_false-termination.c
nterm_14_cex.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_14_cex.c_lasso_out,,,,,1.4,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_14_cex.c
