file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
07.c,lasso,TRUE,"Ranking function f(main::j, main::__CPAchecker_TMP_1) = -3*main::j + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::i, main::__CPAchecker_TMP_0) = -3*main::i + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::i, main::n) = -1*main::i + 1*main::n",Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.367s,0.617s,4.690s,278MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/07.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/07.c
100.c,lasso,TRUE,Ranking function f(main::x) = 1*main::x,Supporting invariants [],Non-termination arguments:,1.061s,0.310s,3.470s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/100.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/100.c
101.c,lasso,TRUE,"Ranking function f(main::x, main::n) = -1*main::x + 1*main::n",Supporting invariants [],Non-termination arguments:,1.001s,0.270s,3.140s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/101.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/101.c
102.c,lasso,TRUE,"Ranking function f(main::x, main::n) = -1*main::x + 1*main::n",Supporting invariants [],Non-termination arguments:,1.021s,0.280s,3.330s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/102.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/102.c
103.c,lasso,TRUE,Ranking function f(main::x) = -1*main::x + 101,Supporting invariants [],Non-termination arguments:,1.065s,0.318s,3.280s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/103.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/103.c
104.c,lasso,TRUE,"Ranking function f(main::x, main::n) = -1*main::x + 1*main::n",Supporting invariants [],Non-termination arguments:,1.028s,0.292s,3.360s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/104.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/104.c
105.c,lasso,TRUE,"Ranking function f(main::x, main::n) = -1*main::x + 1*main::n",Supporting invariants [],Non-termination arguments:,1.034s,0.293s,3.280s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/105.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/105.c
107.c,lasso,TRUE,Ranking function f(main::k) = -3*main::k + 5,Supporting invariants [],Non-termination arguments:,1.068s,0.314s,3.580s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/107.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/107.c
108.c,lasso,TRUE,"Ranking function f(main::k, main::c) = -1*main::k + 1*main::c",Supporting invariants [],Non-termination arguments:,1.119s,0.377s,3.670s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/108.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/108.c
109.c,lasso,TRUE,"Ranking function f(main::k, main::c) = -1*main::k + 1*main::c",Supporting invariants [],Non-termination arguments:,1.079s,0.328s,3.680s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/109.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/109.c
