file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
02.c,lasso,FALSE,"Ranking function f(main::__CPAchecker_TMP_2, main::x) = 5*main::__CPAchecker_TMP_2 - 5*main::x + 4; Ranking function f(main::__CPAchecker_TMP_1, main::i, main::w) = 6*main::__CPAchecker_TMP_1 + 4*main::i - 3*main::w; Ranking function f(main::__CPAchecker_TMP_2, main::__CPAchecker_TMP_1, main::z, main::w) = -9*main::__CPAchecker_TMP_2 - 9*main::__CPAchecker_TMP_1 + 8*main::z - 9*main::w",Supporting invariants []; Supporting invariants [6*main::y + 4*main::i - 3*main::w - 4 >= 0]; Supporting invariants [17*main::z - 15 >= 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {(_%_ |main::z| 2)=1, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=0, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0} Honda state: {(_%_ |main::z| 2)=1, main::w=2, main::x=1, main::__CPAchecker_TMP_2=0, main::z=1, main::y=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=-1, main::j=0, main::i=1} Generalized eigenvectors: [{(_%_ |main::z| 2)=0, main::w=1, main::x=0, main::__CPAchecker_TMP_2=0, main::z=-4, main::y=3, main::__CPAchecker_TMP_1=3, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=4, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=1, main::x=1, main::__CPAchecker_TMP_2=1, main::z=4, main::y=-2, main::__CPAchecker_TMP_1=-2, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}] Lambdas: [0, 1, 1] Nus: [1, 0]",2.161s,1.406s,8.380s,482MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/02.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/02.c
05.c,lasso,UNKNOWN,"Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -1*main::x + 1*main::__CPAchecker_TMP_1 + 1; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 4*main::__CPAchecker_TMP_2 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [4*main::y - 3*main::x >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,2.794s,2.045s,7.650s,530MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/05.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/05.c
110.c,lasso,TRUE,"Ranking function f(main::i, main::n) = -3*main::i + 4*main::n",Supporting invariants [1*main::i > 0],Non-termination arguments:,1.066s,0.322s,3.570s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/110.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/110.c
111.c,lasso,TRUE,"Ranking function f(main::i, main::n) = -3*main::i + 4*main::n",Supporting invariants [1*main::i > 0],Non-termination arguments:,1.100s,0.345s,3.580s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/111.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/111.c
112.c,lasso,TRUE,"Ranking function f(main::i, main::n) = -3*main::i + 4*main::n",Supporting invariants [1*main::i > 0],Non-termination arguments:,1.066s,0.323s,3.530s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/112.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/112.c
113.c,lasso,TRUE,"Ranking function f(main::i, main::n) = -3*main::i + 4*main::n",Supporting invariants [1*main::i > 0],Non-termination arguments:,1.095s,0.329s,3.500s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/113.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/113.c
128.c,lasso,TRUE,"Ranking function f(main::x, main::y) = -1*main::x + 1*main::y",Supporting invariants [4*main::x - 3 > 0],Non-termination arguments:,1.052s,0.309s,3.340s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/128.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/128.c
129.c,lasso,TRUE,"Ranking function f(main::x, main::y) = -1*main::x + 1*main::y",Supporting invariants [4*main::x - 3 > 0],Non-termination arguments:,1.041s,0.313s,3.420s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/129.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/129.c
32.c,lasso,TRUE,"Ranking function f(main::n) = -4*main::n + 3; Ranking function f(main::b) = 1*main::b; Ranking function f(main::k, main::i, main::__CPAchecker_TMP_0) = 1*main::k - 2*main::i + 2*main::__CPAchecker_TMP_0; Ranking function f(main::i, main::b) = 1*main::i - 3*main::b; Ranking function f(main::b, main::i, main::__CPAchecker_TMP_0) = 3*main::b - 4*main::i + 4*main::__CPAchecker_TMP_0; Ranking function f(main::n, main::k) = -1*main::n + 2*main::k","Supporting invariants [-4*main::n + 5*main::b >= 0]; Supporting invariants [1*main::k > 0]; Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::i > 0, 1*main::k > 0]; Supporting invariants []; Supporting invariants []",Non-termination arguments:,3.542s,2.791s,9.780s,447MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/32.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/32.c
38.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}, {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}, {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.257s,0.510s,4.100s,275MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/38.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/38.c
