Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error
count_up_down-1.c,loop_invariants/sv-benchmarks/loops/count_up_down-1.c,7a2258f5018d4bfb9198e31f9a89c533,2025-12-15T17:37:56.428152,83.14,4.0,terminating,0.0,x + y == \old(x) + \old(y); x <= \old(x); y >= \old(y),x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_173756_7a2258f5018d4bfb9198e31f9a89c533.json,
sum04-2.c,loop_invariants/sv-benchmarks/loops/sum04-2.c,63862e93edb64863a9f58de7b4746101,2025-12-15T17:45:05.206329,55.12,4.0,terminating,0.0,,SIZE - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174505_63862e93edb64863a9f58de7b4746101.json,
sum01-2.c,loop_invariants/sv-benchmarks/loops/sum01-2.c,f3d5936c8e334f83a858a48aabd7dc96,2025-12-15T17:46:18.635766,73.43,4.0,terminating,0.0,,n - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174618_f3d5936c8e334f83a858a48aabd7dc96.json,
simple_vardep_2.c,loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_2.c,66cc8641eba1490cb852d849765a4c23,2025-12-15T17:49:53.776709,106.26,4.0,terminating,0.0,k == 3*i; j == 2*i,0x0fffffff - k,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174953_66cc8641eba1490cb852d849765a4c23.json,
simple_vardep_1.c,loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_1.c,cb5ac06a92284c8b9f4e116ba8df93fe,2025-12-15T17:51:22.759715,88.98,4.0,terminating,0.0,,0x0fffffff - k,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175122_cb5ac06a92284c8b9f4e116ba8df93fe.json,
simple_1-2.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_1-2.c,1915a8397d5144348b4783e8f86379ff,2025-12-15T17:59:58.482881,85.47,4.0,terminating,0.0,,0x0fffffff - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175958_1915a8397d5144348b4783e8f86379ff.json,
simple_4-2.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_4-2.c,1686252f0dfc4020b680f8307d0d1f6a,2025-12-15T18:01:26.946858,88.46,4.0,terminating,0.0,,x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180126_1686252f0dfc4020b680f8307d0d1f6a.json,
diamond_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/diamond_1-1.c,05ec0b0c72ce41b7bf3dcb802e4b9ae0,2025-12-15T18:02:43.885046,76.94,4.0,terminating,0.0,,99 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180243_05ec0b0c72ce41b7bf3dcb802e4b9ae0.json,
const_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/const_1-1.c,89b77050714f477981f82a77fde4bf0f,2025-12-15T18:04:09.535645,85.65,4.0,terminating,0.0,,1024 - y,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180409_89b77050714f477981f82a77fde4bf0f.json,
multivar_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/multivar_1-1.c,949d8ac206a342ef9ab0b3d0809998d5,2025-12-15T18:05:03.244591,53.71,4.0,terminating,0.0,y == x,1024 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180503_949d8ac206a342ef9ab0b3d0809998d5.json,
