Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error,merge_key,Category,Category_GT,CPA_Verified,verification_result
while_infinite_loop_2.c,loop_invariants/sv-benchmarks/loops/while_infinite_loop_2.c,b3daa80f5dfb4ee48b4df7ec66e03e3a,2025-12-15T17:35:29.448885,35.11,4.0,non-terminating,0.0,x == 0,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_173529_b3daa80f5dfb4ee48b4df7ec66e03e3a.json,,while_infinite_loop_2.c,loop_invariants,loop_invariants,,
for_infinite_loop_2.c,loop_invariants/sv-benchmarks/loops/for_infinite_loop_2.c,68c0c1ea50034645b948cc0fa6372896,2025-12-15T17:36:33.289824,63.84,4.0,non-terminating,0.0,x == 0; i >= 0,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_173633_68c0c1ea50034645b948cc0fa6372896.json,,for_infinite_loop_2.c,loop_invariants,loop_invariants,,
count_up_down-1.c,loop_invariants/sv-benchmarks/loops/count_up_down-1.c,7a2258f5018d4bfb9198e31f9a89c533,2025-12-15T17:37:56.428152,83.14,4.0,terminating,0.0,x + y == \old(x) + \old(y); x <= \old(x); y >= \old(y),x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_173756_7a2258f5018d4bfb9198e31f9a89c533.json,,count_up_down-1.c,loop_invariants,loop_invariants,,
for_infinite_loop_1.c,loop_invariants/sv-benchmarks/loops/for_infinite_loop_1.c,032b14f64d5145ea8c715e94d2696419,2025-12-15T17:38:47.032095,50.6,4.0,non-terminating,0.0,x == 0; i >= 0,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_173847_032b14f64d5145ea8c715e94d2696419.json,,for_infinite_loop_1.c,loop_invariants,loop_invariants,,
trex03-2.c,loop_invariants/sv-benchmarks/loops/trex03-2.c,6713384c09ae4c4998be9dc3921321d2,2025-12-15T17:40:38.532449,111.5,5.0,terminating,0.0,,"(x1, x2, x3)","Error: Traceback (most recent call last):
  File ""/tmp/tmptlxnfe8l.py"", line 20, in <module>
    And(c1, x1_next == x1 - d1, x2_next == x2, x3_next == x3),
NameError: name 'd1' is not defined...",/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174038_6713384c09ae4c4998be9dc3921321d2.json,,trex03-2.c,loop_invariants,loop_invariants,False,UNKNOWN
terminator_03-2.c,loop_invariants/sv-benchmarks/loops/terminator_03-2.c,6be57642d1f34b03a551b223c6b32ccf,2025-12-15T17:42:01.434893,82.9,4.0,terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174201_6be57642d1f34b03a551b223c6b32ccf.json,,terminator_03-2.c,loop_invariants,loop_invariants,,
while_infinite_loop_1.c,loop_invariants/sv-benchmarks/loops/while_infinite_loop_1.c,16d811a9709546738a72a9cefdc2f57f,2025-12-15T17:42:40.858052,39.42,4.0,non-terminating,0.0,x == 0,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174240_16d811a9709546738a72a9cefdc2f57f.json,,while_infinite_loop_1.c,loop_invariants,loop_invariants,,
sum03-2.c,loop_invariants/sv-benchmarks/loops/sum03-2.c,ae181fb5fd194c02b915e152faef563d,2025-12-15T17:44:10.084945,89.23,4.0,non-terminating,0.0,sn - a * x == \old(sn) - a * \old(x),,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174410_ae181fb5fd194c02b915e152faef563d.json,,sum03-2.c,loop_invariants,,False,UNKNOWN
sum04-2.c,loop_invariants/sv-benchmarks/loops/sum04-2.c,63862e93edb64863a9f58de7b4746101,2025-12-15T17:45:05.206329,55.12,4.0,terminating,0.0,,SIZE - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174505_63862e93edb64863a9f58de7b4746101.json,,sum04-2.c,loop_invariants,loop_invariants,,
sum01-2.c,loop_invariants/sv-benchmarks/loops/sum01-2.c,f3d5936c8e334f83a858a48aabd7dc96,2025-12-15T17:46:18.635766,73.43,4.0,terminating,0.0,,n - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174618_f3d5936c8e334f83a858a48aabd7dc96.json,,sum01-2.c,loop_invariants,,True,TRUE
terminator_02-2.c,loop_invariants/sv-benchmarks/loops/terminator_02-2.c,d9d8e5b6edd64020837cc1327815b1f2,2025-12-15T17:48:07.520316,108.88,5.0,terminating,0.0,,"(100 - x, z - 100)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174807_d9d8e5b6edd64020837cc1327815b1f2.json,,terminator_02-2.c,loop_invariants,loop_invariants,,
simple_vardep_2.c,loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_2.c,66cc8641eba1490cb852d849765a4c23,2025-12-15T17:49:53.776709,106.26,4.0,terminating,0.0,k == 3*i; j == 2*i,0x0fffffff - k,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_174953_66cc8641eba1490cb852d849765a4c23.json,,simple_vardep_2.c,loop_invariants,loop_invariants,False,UNKNOWN
