directory,filename,clean_path,benchmark_invariant,cpa_invariant,et_invariant,loopy_generated_invariant
accelerating_invariant_generation/crafted,const_safe1.c,accelerating_invariant_generation/crafted/const_safe1.c,x == 0,,,"x == 0 || y == 0;
0 <= y && y <= 10"
accelerating_invariant_generation/crafted,diamond_safe1.c,accelerating_invariant_generation/crafted/diamond_safe1.c,(x % 2) == (y % 2),,,
accelerating_invariant_generation/crafted,diamond_safe2.c,accelerating_invariant_generation/crafted/diamond_safe2.c,(x % 2) == (y % 2),,,
accelerating_invariant_generation/crafted,multivar_safe1.c,accelerating_invariant_generation/crafted/multivar_safe1.c,x == y,Supporting invariants [1*main::x - 1*main::y >= 0],x - y == \old(x) - \old(y); x >= \old(x); y >= \old(y); y == \old(y) + x - \old(x),"0 <= x;
0 <= y;
x == y"
accelerating_invariant_generation/crafted,overflow_safe1.c,accelerating_invariant_generation/crafted/overflow_safe1.c,!(x % 2),,x >= \old(x); (x - \old(x)) % 2 == 0; true,
accelerating_invariant_generation/crafted,phases_safe1.c,accelerating_invariant_generation/crafted/phases_safe1.c,!(x % 2),,, x >= 0xfff0 ==> (x - 0xfff0) % 2 == 0
accelerating_invariant_generation/crafted,simple_safe1.c,accelerating_invariant_generation/crafted/simple_safe1.c,!(x % 2),,,"x % 2 == 0;
0 <= x <= 0x10000000"
accelerating_invariant_generation/crafted,simple_safe2.c,accelerating_invariant_generation/crafted/simple_safe2.c,x >= 0x0fffffff,,x <= 0x0fffffff; x >= \old(x), x >= 0
accelerating_invariant_generation/crafted,simple_safe3.c,accelerating_invariant_generation/crafted/simple_safe3.c,!(x % 2),,,"0 <= x;
x % 2 == 0;
x <= 2 * N"
accelerating_invariant_generation/crafted,simple_safe4.c,accelerating_invariant_generation/crafted/simple_safe4.c,!(x % 2),,x <= \old(x); x % 2 == \old(x) % 2,"0 <= x <= 0x0ffffff0;
x % 2 == 0"
accelerating_invariant_generation/crafted,underapprox_safe2.c,accelerating_invariant_generation/crafted/underapprox_safe2.c,x == 6,,"x >= \old(x); (\old(y) == 0) ==> (y == 0); \old(y) * \pow(2, x) == y * \pow(2, \old(x))","0 <= x <= 6;
y == 1 << x"
accelerating_invariant_generation/crafted,underapprox_unsafe1.c,accelerating_invariant_generation/crafted/underapprox_unsafe1.c,y != 12,,y == (1U << x); x <= 6,"0 <= x <= 6;
y == (1 << x)"
accelerating_invariant_generation/dagger,barbr.c,accelerating_invariant_generation/dagger/barbr.c,p5 >= open,,,"barber >= 0;
chair >= 0;
open >= 0;
p1 >= 0 && p1 <= 1;
p2 >= 0 && p2 <= 1;
p3 >= 0 && p3 <= 1;
p4 >= 0 && p4 <= 1;
p5 >= 0 && p5 <= 3;
p5 >= open"
accelerating_invariant_generation/dagger,barbrprime.c,accelerating_invariant_generation/dagger/barbrprime.c,p5 <= 3,,0 <= p1 && p1 <= 1; 0 <= p2 && p2 <= 1; 0 <= p3 && p3 <= 1; 0 <= p4 && p4 <= 1; 0 <= p5 && p5 <= 3; barber >= 0; chair >= 0; open >= 0,"barber >= 0;
chair >= 0;
open >= 0;
p1 >= 0 && p1 <= 1;
p2 >= 0 && p2 <= 1;
p3 >= 0 && p3 <= 1;
p4 >= 0 && p4 <= 1;
p5 >= 0 && p5 <= 3;
open <= p5"
accelerating_invariant_generation/dagger,bk-nat.c,accelerating_invariant_generation/dagger/bk-nat.c,exclusive >= 0,,,"exclusive >= 0;
nonexclusive >= 0;
unowned >= 0;
invalid >= 0;
invalid + unowned + exclusive >= 1"
accelerating_invariant_generation/dagger,bkley.c,accelerating_invariant_generation/dagger/bkley.c,exclusive >= 0,,,"exclusive >= 0;
unowned >= 0;
nonexclusive >= 0;
invalid >= 1 ==> invalid >= 1;
invalid + unowned + exclusive + nonexclusive >= 1"
accelerating_invariant_generation/dagger,cars.c,accelerating_invariant_generation/dagger/cars.c,v1 <= 5,,-5; 5,
