config,file_name,benchmark_name,generated,extraction_success,invariants_found,template_type,verified
Full (Inv + Extract),3pieces_Caterina_TACAS16_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,3pieces_Caterina_TACAS16,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),3pieces_Caterina_TACAS16_modif_1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,3pieces_Caterina_TACAS16_modif_1,True,False,True,lmulti,NONTERM
Full (Inv + Extract),3pieces_Caterina_TACAS16_modif_2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,3pieces_Caterina_TACAS16_modif_2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),3pieces_Caterina_TACAS16_modif_3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,3pieces_Caterina_TACAS16_modif_3,True,False,True,lnested,NONTERM
Full (Inv + Extract),4NestedWith2Variables_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,4NestedWith2Variables_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),4NestedWith3Variables_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,4NestedWith3Variables_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),aaron3_false-no-overflow-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,aaron3_false-no-overflow-version,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),aaron3_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,aaron3_false-no-overflow,True,False,True,lmulti,NONTERM
Full (Inv + Extract),aaron3_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,aaron3_true-termination_true-valid-memsafety,True,False,True,lnested,NONTERM
Full (Inv + Extract),AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow,True,False,True,lnested,UNKNOWN
