benchmark_name,Extract Only (-Inv + Extract),Full (Inv + Extract),Origin Only (-Inv - Extract)
3pieces_Caterina_TACAS16,lnested,lmulti,lnested
3pieces_Caterina_TACAS16_modif_1,lmulti,lmulti,lnested
3pieces_Caterina_TACAS16_modif_3,lmulti,lnested,lnested
AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow,lmulti,lnested,lnested
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination,lmulti,lmulti,lnested
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination,lnested,lnested,lmulti
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified1,lnested,lnested,lmulti
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified2,lnested,lnested,lmulti
BradleyMannaSipma-ICALP2005-Fig1_true-termination,lnested,lmulti,lnested
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow,lnested,lnested,lmulti
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2,lnested,lnested,lmulti
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow,lnested,lmulti,lnested
CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow,lnested,lnested,lmulti
Gothenburg_false-no-overflow,lnested,lmulti,lnested
Gothenburg_v3_false-no-overflow,lnested,lmulti,lnested
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination,lmulti,lnested,lnested
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1,lnested,lnested,lmulti
Masse-VMCAI2014-Fig1b_true-termination-version-2,lmulti,lnested,lmulti
MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif,lnested,lnested,lmulti
NoriSharma-2013FSE-Fig8-true-termination-modif,lnested,lmulti,lmulti
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version,lnested,lnested,lmulti
Parallel_true-no-overflow_true-termination_true-valid-memsafety,lmulti,lnested,lmulti
Piecewise_true-no-overflow_true-termination_true-valid-memsafety,lmulti,lmulti,lnested
PodelskiRybalchenko-simpl1,lnested,lnested,lmulti
PodelskiRybalchenko-simpl2,lnested,lnested,lmulti
PodelskiRybalchenko-simpl3,lnested,lmulti,lmulti
Singapore_false-no-overflow-version,lnested,lmulti,lnested
Toulouse-BranchesToLoop-alloca_true-termination,lnested,lnested,lmulti
aviad_true-termination_true-no-overflow-version1,lnested,lmulti,lmulti
aviad_true-termination_true-no-overflow-version2,lnested,lnested,lmulti
min_rf-alloca_true-termination,lmulti,lnested,lnested
term_07,lnested,lmulti,lnested
term_19,lnested,lmulti,lnested
term_21,lmulti,lnested,lmulti
term_22,lnested,lmulti,lnested
term_23,lnested,lmulti,lnested
term_25,lnested,lmulti,lnested
term_26,lnested,lnested,lmulti
trex03_false-unreach-call_true-termination,lnested,lnested,lmulti
