file,svmr_result,result_lasso,cost_time_lasso,loop_condition_variables_count,array_operator,lines,has_break
3pieces_Caterina_TACAS16.c,terminate,MAYBE,3.38,1,False,14,False
3pieces_Caterina_TACAS16_modif_1.c,terminate,MAYBE,3.25,1,False,14,False
3pieces_Caterina_TACAS16_modif_2.c,unknown,MAYBE,1.72,1,False,13,False
3pieces_Caterina_TACAS16_modif_3.c,terminate,MAYBE,1.40,1,False,16,False
4NestedWith2Variables_false-no-overflow.c,unknown,MAYBE,1.45,1,False,14,False
4NestedWith3Variables_false-no-overflow.c,unknown,MAYBE,1.55,1,False,16,False
AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,unknown,YES,2.68,3,False,24,False
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,unknown,YES,1.67,1,False,17,False
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,unknown,YES,51.22,2,False,19,False
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,unknown,YES,1.72,2,False,21,False
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c,unknown,MAYBE,1.69,1,False,20,False
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c,failed,YES,1.89,2,False,20,False
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c,terminate,YES,1.64,2,False,17,False
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified1.c,terminate,YES,1.87,3,False,21,False
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified2.c,terminate,MAYBE,1.51,3,False,21,False
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c,terminate,YES,1.85,3,False,21,False
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,unknown,YES,2.64,2,False,23,False
Cairo_true-no-overflow_true-termination_true-valid-memsafety.c,terminate,YES,1.42,1,False,13,False
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c,failed,NO,1.82,2,False,19,False
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,unknown,MAYBE,296.28,4,False,29,False
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,failed,YES,1.55,5,False,24,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1.c,terminate,MAYBE,1.33,1,False,10,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2.c,unknown,MAYBE,1.36,1,False,10,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3.c,unknown,MAYBE,1.43,2,False,12,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4.c,unknown,MAYBE,1.40,2,False,14,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5.c,unknown,NO,1.31,1,False,13,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6.c,unknown,MAYBE,1.40,2,False,12,False
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow.c,terminate,MAYBE,1.38,1,False,10,False
ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow.c,terminate,YES,1.47,2,False,11,False
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow.c,failed,MAYBE,1.38,2,False,13,False
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,terminate,YES,1.51,2,False,12,False
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl.c,unknown,MAYBE,2.19,3,False,13,False
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1.c,failed,YES,1.60,3,False,15,False
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2.c,failed,MAYBE,1.69,3,False,16,False
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow.c,failed,YES,1.83,3,False,15,False
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c,terminate,YES,1.80,2,False,16,False
CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow.c,terminate,YES,2.10,3,False,20,False
CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow.c,unknown,YES,2.24,3,False,21,False
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c,terminate,YES,1.57,2,False,15,False
Copenhagen_disj_true-termination_true-valid-memsafety.c,failed,MAYBE,288.59,2,False,17,False
Copenhagen_disj_true_version.c,failed,YES,135.76,3,False,17,False
Copenhagen_true-no-overflow_true-termination_true-valid-memsafety.c,unknown,YES,1.47,2,False,14,False
Et1_false-no-overflow_true-termination.c,unknown,YES,1.82,2,False,15,False
Gothenburg_false-no-overflow.c,failed,YES,1.73,2,False,17,False
Gothenburg_v2_false-no-overflow.c,unknown,YES,1.63,2,False,17,False
Gothenburg_v3_false-no-overflow.c,failed,MAYBE,1.82,2,False,20,False
Gothenburg_v4_false-no-overflow.c,failed,MAYBE,2.89,2,False,21,False
GulavaniGulwani-CAV2008-Fig1a_true-termination.c,unknown,YES,1.82,2,False,16,False
