file_name,category,is_stable,llm_is_terminating,llm_is_unknown,ref_is_terminating,ref_is_unknown,repeat_count,processing_time
svcomp_b.14-alloca.c,YES,True,True,False,True,False,2,379.45
svcomp_b.01-alloca.c,YES,True,True,False,True,False,2,273.9
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,YES,False,False,False,True,False,2,211.0
svcomp_b.07.c,YES,True,True,False,True,False,2,479.0
svcomp_openbsd_cstrnlen_alloca.c,YES,True,True,False,True,False,2,267.95
standard_password_true-unreach-call_ground.c,YES,False,False,False,True,False,2,698.87
NestedRecursion_1d_true-termination.c,YES,True,True,False,True,False,2,627.16
svcomp_array02_alloca.c,YES,True,True,False,True,False,2,340.82
Et4_true.c,YES,False,False,False,True,False,2,486.11
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,YES,True,True,False,True,False,2,481.25
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,YES,True,True,False,True,False,2,404.24
svcomp_b.05.c,YES,True,True,False,True,False,2,377.71
sum_2x3_false-unreach-call.c,YES,False,False,False,True,False,2,312.85
desc_ll_search_last.c,YES,True,True,False,True,False,2,235.68
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,YES,True,False,False,True,False,2,684.51
svcomp_openbsd_cbzero_alloca.c,YES,True,True,False,True,False,2,466.17
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,YES,True,True,False,True,False,2,236.41
fibo_5_false-unreach-call.c,YES,True,True,False,True,False,2,227.98
svcomp_openbsd_cstrspn_alloca.c,YES,True,False,False,True,False,2,332.13
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,YES,True,True,False,True,False,2,787.99
Benghazi_nondet_true-termination.c,YES,True,False,False,True,False,2,672.9
svcomp_openbsd_cstrcpy_alloca.c,YES,False,False,False,True,False,2,224.41
svcomp_b.16-alloca.c,YES,True,True,False,True,False,2,423.65
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,True,True,False,True,False,2,630.4
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,YES,True,True,False,True,False,2,420.32
svcomp_subseq_alloca.c,YES,True,True,False,True,False,2,507.01
svcomp_cstrncpy_alloca.c,YES,False,False,False,True,False,2,610.46
TwoWay_true.c,YES,True,True,False,True,False,2,386.44
svcomp_insertionsort_alloca.c,YES,True,True,False,True,False,2,406.83
Masse-VMCAI2014-Ex6_true-termination.c,YES,True,True,False,True,False,2,427.43
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,YES,True,True,False,True,False,2,326.27
svcomp_b.09_assume-alloca.c,YES,True,True,False,True,False,2,414.03
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,YES,True,True,False,True,False,2,224.96
svcomp_openbsd_cstrncpy_alloca.c,YES,True,True,False,True,False,2,389.58
nondet_ll_init_rec.c,YES,True,True,False,True,False,2,152.1
svcomp_c.07.c,YES,True,True,False,True,False,2,298.51
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,True,True,False,True,False,2,461.58
svcomp_Toulouse-BranchesToLoop_true-alloca.c,YES,True,True,False,True,False,2,340.11
nondet_ll_traverse_rec.c,YES,True,True,False,True,False,2,541.29
svcomp_b.07-alloca.c,YES,True,True,False,True,False,2,259.52
svcomp_b.04-alloca.c,YES,True,True,False,True,False,2,247.04
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,YES,True,True,False,True,False,2,418.4
Bangalore_true-termination.c,YES,True,True,False,True,False,2,161.44
Overflow.c,YES,True,False,False,True,False,2,66.17
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,YES,True,True,False,True,False,2,554.27
