ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",51.65
LeikeHeizmann-TACAS2014-Ex9.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",29.29
ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",35.79
PastaA8_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",19.47
2.bpl,Y,Nested,3,"[('TERM', 'Multi'), ('TERM', 'Nested'), ('TERM', 'Nested')]",82.93
LeikeHeizmann-TACAS2014-Ex1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",28.16
Copenhagen.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",28.06
ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,Y,Nested,3,"[('TERM', 'Single'), ('TERM', 'Multi'), ('TERM', 'Multi')]",122.04
PodelskiRybalchenko-TACAS2011-Fig1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.92
ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,Y,Nested,1,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Multi')]",51.86
b.03_assume_false-no-overflow.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",38.15
171.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",29.49
151.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Other'), ('TERM', 'Single')]",113.94
144.bpl,Y,Nested,2,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]",72.91
55.bpl,Y,Nested,1,"[('TERM', 'Other'), ('TERM', 'Nested'), ('TERM', 'Single')]",69.34
167.bpl,Y,Nested,1,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Other')]",85.76
126.bpl,Y,Nested,2,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]",58.53
PastaC7.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",64.21
2Nested-2.bpl,Y,Nested,2,"[('TERM', 'Nested'), ('TERM', 'Multi'), ('TERM', 'Nested')]",210.58
