file_name,original_path,predicted_status,predicted_kind,category_folder,processing_time,is_consistent,repeat_results,raw_responses
2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,TERM,Single,TERM,51.65,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_LeikeHeizmann-TACAS2014-Ex9.bpl,LLM_Phase_Exp/4-nested-terminate/1_LeikeHeizmann-TACAS2014-Ex9.bpl,TERM,Single,TERM,29.29,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,LLM_Phase_Exp/4-nested-terminate/1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,TERM,Single,TERM,35.79,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaA8_false-no-overflow_true-termination.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaA8_false-no-overflow_true-termination.bpl,TERM,Single,TERM,19.47,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_2.bpl,LLM_Phase_Exp/4-nested-terminate/2_2.bpl,TERM,Multi,TERM,82.93,False,"[('TERM', 'Multi'), ('TERM', 'Nested'), ('TERM', 'Nested')]","['[TERM] Multi', '[TERM] Nested', '[TERM] Nested']"
1_LeikeHeizmann-TACAS2014-Ex1.bpl,LLM_Phase_Exp/4-nested-terminate/1_LeikeHeizmann-TACAS2014-Ex1.bpl,TERM,Single,TERM,28.16,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_Copenhagen.bpl,LLM_Phase_Exp/4-nested-terminate/1_Copenhagen.bpl,TERM,Single,TERM,28.06,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,LLM_Phase_Exp/4-nested-terminate/3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,TERM,Single,TERM,122.04,False,"[('TERM', 'Single'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Single', '[TERM] Multi', '[TERM] Multi']"
1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,LLM_Phase_Exp/4-nested-terminate/1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,TERM,Single,TERM,15.92,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,LLM_Phase_Exp/4-nested-terminate/1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,TERM,Other,TERM,51.86,False,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Multi')]","['[TERM] Other', '[TERM] Other', '[TERM] Multi']"
2_b.03_assume_false-no-overflow.bpl,LLM_Phase_Exp/4-nested-terminate/2_b.03_assume_false-no-overflow.bpl,TERM,Single,TERM,38.15,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_171.bpl,LLM_Phase_Exp/4-nested-terminate/1_171.bpl,TERM,Single,TERM,29.49,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_151.bpl,LLM_Phase_Exp/4-nested-terminate/1_151.bpl,TERM,Single,TERM,113.94,False,"[('TERM', 'Single'), ('TERM', 'Other'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Other', '[TERM] Single']"
2_144.bpl,LLM_Phase_Exp/4-nested-terminate/2_144.bpl,TERM,Other,TERM,72.91,True,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Other', '[TERM] Other', '[TERM] Other']"
1_55.bpl,LLM_Phase_Exp/4-nested-terminate/1_55.bpl,TERM,Other,TERM,69.34,False,"[('TERM', 'Other'), ('TERM', 'Nested'), ('TERM', 'Single')]","['[TERM] Other', '[TERM] Nested', '[TERM] Single']"
1_167.bpl,LLM_Phase_Exp/4-nested-terminate/1_167.bpl,TERM,Other,TERM,85.76,False,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Other')]","['[TERM] Other', '[TERM] Single', '[TERM] Other\n\nExplanation: The loop implements the logistic‐map update \n  x₀ₙ₊₁ = x₀ₙ (constant), \n  x₁ₙ₊₁ = c ⋅ x₁ₙ ⋅ (1−x₁ₙ), \nwith c = x₀₀ ∈ [0,1). For c ≤ 1 this sequence is strictly monotonically decreasing in (0,1] and converges to 0, so eventually x₁ₙ drops below 0.1 and the guard fails. There is no single (or nested) polynomial ranking function with a uniform decrease C > 0, because the decrease x₁ₙ − x₁ₙ₊₁ tends to 0 as x₁ₙ → 0. Hence termination can be shown but not by a single, nested, or simple multi-phase linear/polynomial ranker; it relies on the monotone convergence argument.']"
2_126.bpl,LLM_Phase_Exp/4-nested-terminate/2_126.bpl,TERM,Multi,TERM,58.53,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
1_PastaC7.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaC7.bpl,TERM,Single,TERM,64.21,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_2Nested-2.bpl,LLM_Phase_Exp/4-nested-terminate/2_2Nested-2.bpl,TERM,Nested,TERM,210.58,False,"[('TERM', 'Nested'), ('TERM', 'Multi'), ('TERM', 'Nested')]","['[TERM] Nested', '[TERM] Multi', '[TERM] Nested']"
1_a.09_assume.bpl,LLM_Phase_Exp/4-nested-terminate/1_a.09_assume.bpl,TERM,Single,TERM,61.23,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,TERM,Other,TERM,130.51,False,"[('TERM', 'Other'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Other', '[TERM] Multi', '[TERM] Multi']"
1_61.bpl,LLM_Phase_Exp/4-nested-terminate/1_61.bpl,TERM,Single,TERM,50.27,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_73.bpl,LLM_Phase_Exp/4-nested-terminate/2_73.bpl,TERM,Multi,TERM,88.25,False,"[('TERM', 'Multi'), ('TERM', 'Other'), ('TERM', 'Nested')]","['[TERM] Multi', '[TERM] Other', '[TERM] Nested']"
1_158.bpl,LLM_Phase_Exp/4-nested-terminate/1_158.bpl,TERM,Single,TERM,88.64,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_162.bpl,LLM_Phase_Exp/4-nested-terminate/1_162.bpl,TERM,Other,TERM,83.73,False,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Other', '[TERM] Single', '[TERM] Single']"
1_133.bpl,LLM_Phase_Exp/4-nested-terminate/1_133.bpl,TERM,Single,TERM,14.9,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
4_154.bpl,LLM_Phase_Exp/4-nested-terminate/4_154.bpl,TERM,Multi,TERM,106.09,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
1_149.bpl,LLM_Phase_Exp/4-nested-terminate/1_149.bpl,TERM,Single,TERM,52.36,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_b.04.bpl,LLM_Phase_Exp/4-nested-terminate/1_b.04.bpl,TERM,Single,TERM,30.63,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_67.bpl,LLM_Phase_Exp/4-nested-terminate/2_67.bpl,TERM,Multi,TERM,47.05,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
1_159.bpl,LLM_Phase_Exp/4-nested-terminate/1_159.bpl,TERM,Single,TERM,61.86,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
3_15.bpl,LLM_Phase_Exp/4-nested-terminate/3_15.bpl,TERM,Multi,TERM,37.74,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,TERM,Nested,TERM,144.5,False,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Single')]","['[TERM] Nested', '[TERM] Nested', '[TERM] Single']"
1_115.bpl,LLM_Phase_Exp/4-nested-terminate/1_115.bpl,TERM,Single,TERM,17.94,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
3_68.bpl,LLM_Phase_Exp/4-nested-terminate/3_68.bpl,TERM,Nested,TERM,19.5,True,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Nested')]","['[TERM] Nested', '[TERM] Nested', '[TERM] Nested']"
1_150.bpl,LLM_Phase_Exp/4-nested-terminate/1_150.bpl,TERM,Single,TERM,34.2,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_164.bpl,LLM_Phase_Exp/4-nested-terminate/1_164.bpl,TERM,Single,TERM,40.64,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,TERM,Nested,TERM,71.42,True,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Nested')]","['[TERM] Nested', '[TERM] Nested', '[TERM] Nested']"
2_LeikeHeizmann-TACAS2014-Fig1.bpl,LLM_Phase_Exp/4-nested-terminate/2_LeikeHeizmann-TACAS2014-Fig1.bpl,TERM,Multi,TERM,112.24,False,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Nested')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Nested']"
1_83.bpl,LLM_Phase_Exp/4-nested-terminate/1_83.bpl,TERM,Single,TERM,59.61,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaB6.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaB6.bpl,TERM,Single,TERM,16.14,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
