file,pipe_terminating,pipe_mode,pipe_depth,pipe_svmranker_time,pipe_llm_run_time,pipe_time,svmrank_time,svmrank_terminating,svmrank_type,svmrank_depth
0,NONTERM,1-nested,0,0.816494,6.951,7.767494,0.722276,NONTERM,multi,0
1,TERMINATE,4-nested,1,0.817107,9.2905,10.107607,1.222511,TERMINATE,multi,1
10,NONTERM,1-nested,0,0.817006,8.17,8.987006,0.723852,NONTERM,multi,0
100,UNKNOWN,1-nested,0,1.018311,6.079,7.097311,145.09072,UNKNOWN,multi,0
101,UNKNOWN,1-nested,0,1.019275,6.4631,7.482375,2.470465,UNKNOWN,multi,0
102,UNKNOWN,1-nested,0,0.918172,10.3615,11.279672,23.824768,UNKNOWN,multi,0
103,UNKNOWN,1-nested,0,0.917658,6.6524,7.570058,22.820004,UNKNOWN,multi,0
104,UNKNOWN,1-nested,0,0.96857,9.9926,10.96117,2.274064,UNKNOWN,multi,0
105,UNKNOWN,1-nested,0,0.968806,9.5551,10.523906,0.718437,NONTERM,multi,0
106,UNKNOWN,1-nested,0,0.918778,8.3651,9.283878,21.853574,UNKNOWN,multi,0
107,UNKNOWN,1-nested,0,1.01742,7.4881,8.50552,95.530972,UNKNOWN,multi,0
108,UNKNOWN,1-nested,0,0.91823,7.8814,8.79963,6.881025,UNKNOWN,multi,0
109,UNKNOWN,1-nested,0,0.967464,5.7152,6.682664,16.557964,UNKNOWN,multi,0
11,NONTERM,4-nested,0,0.817275,10.6348,11.452075,0.717362,NONTERM,multi,0
112,UNKNOWN,4-nested,0,1.372676,19.1245,20.497176,1.271968,UNKNOWN,multi,0
113,NONTERM,4-nested,0,0.817243,9.6785,10.495743,0.718992,NONTERM,multi,0
115,TERMINATE,4-multi,1,0.872368,12.7342,13.606568,0.767492,TERMINATE,multi,1
116,UNKNOWN,1-nested,0,1.119406,7.9873,9.106706,2.82367,UNKNOWN,multi,0
117,NONTERM,1-nested,0,0.819848,6.8184,7.638248,0.718803,NONTERM,multi,0
119,NONTERM,1-nested,0,0.768747,18.7016,19.470347,0.767794,NONTERM,multi,0
12,NONTERM,4-nested,0,0.821531,10.4542,11.275731,0.718544,NONTERM,multi,0
120,NONTERM,1-nested,0,0.817991,6.1383,6.956291,0.77001,NONTERM,multi,0
121,UNKNOWN,1-nested,0,1.069478,6.2538,7.323278,35.195544,UNKNOWN,multi,0
122,NONTERM,1-nested,0,0.767676,12.5261,13.293776,0.716898,NONTERM,multi,0
123,NONTERM,1-nested,0,0.768188,6.3481,7.116288,0.76737,NONTERM,multi,0
125,NONTERM,1-nested,0,0.768751,6.8634,7.632151,0.715899,NONTERM,multi,0
