file,depth,terminating,mode,svmranker_time,ranking_function,llm_run_time
0,0,NONTERM,1-nested,0.816494,,6.951
1,1,TERMINATE,4-nested,0.817107,0.3 *  x0^1.0 + 0.3 *  x1^1.0 + 0.7 * 1,9.2905
10,0,NONTERM,1-nested,0.817006,,8.17
100,0,UNKNOWN,1-nested,1.018311,,6.079
101,0,UNKNOWN,1-nested,1.019275,,6.4631
102,0,UNKNOWN,1-nested,0.918172,,10.3615
103,0,UNKNOWN,1-nested,0.917658,,6.6524
104,0,UNKNOWN,1-nested,0.96857,,9.9926
105,0,UNKNOWN,1-nested,0.968806,,9.5551
106,0,UNKNOWN,1-nested,0.918778,,8.3651
107,0,UNKNOWN,1-nested,1.01742,,7.4881
108,0,UNKNOWN,1-nested,0.91823,,7.8814
109,0,UNKNOWN,1-nested,0.967464,,5.7152
11,0,NONTERM,4-nested,0.817275,,10.6348
112,0,UNKNOWN,4-nested,1.372676,,19.1245
113,0,NONTERM,4-nested,0.817243,,9.6785
115,1,TERMINATE,4-multi,0.872368,0.4 *  x0^1 + 0.7 * 1,12.7342
116,0,UNKNOWN,1-nested,1.119406,,7.9873
117,0,NONTERM,1-nested,0.819848,,6.8184
119,0,NONTERM,1-nested,0.768747,,18.7016
12,0,NONTERM,4-nested,0.821531,,10.4542
120,0,NONTERM,1-nested,0.817991,,6.1383
121,0,UNKNOWN,1-nested,1.069478,,6.2538
122,0,NONTERM,1-nested,0.767676,,12.5261
123,0,NONTERM,1-nested,0.768188,,6.3481
125,0,NONTERM,1-nested,0.768751,,6.8634
126,2,TERMINATE,1-nested,0.920345,2.8395 *  x0^1.0 + 0.9465 *  x1^1.0 + 1.0669 * 1; 0.9465 *  x0^1.0 + 0.964 * 1,8.6614
127,1,TERMINATE,4-multi,1.26983,1.5 *  x0^1 + 0.5 *  x1^1 + 0.8 * 1,8.3031
129,0,UNKNOWN,4-nested,2.369581,,13.493
13,0,NONTERM,1-nested,0.768758,,8.0075
131,0,NONTERM,1-nested,0.81815,,7.2715
132,1,TERMINATE,4-nested,0.818621,0.9 *  x0^1.0 + 1.0 * 1,8.0896
133,1,TERMINATE,4-nested,0.868842,1.0 *  x0^1.0 + 1.0 * 1,7.466
136,0,UNKNOWN,1-nested,1.070518,,8.2341
140,0,NONTERM,4-nested,0.818682,,9.1246
144,2,TERMINATE,4-nested,1.470406,- 0.5025 *  x1^1.0 - 0.5025 *  x[3]^1.0 + 0.9579 * 1; 0.5025 *  x0^1.0 + 0.5025 *  x[2]^1.0 + 0.5447 * 1,9.8856
146,,,4-nested,12.49975,,23.0168
147,,,4-nested,20.464795,,29.8806
148,1,TERMINATE,1-nested,0.819165,- 0.6634 *  x0^1.0 + 0.6634 *  x1^1.0 + 1.4257 * 1,5.6457
149,1,TERMINATE,4-nested,0.818264,- 0.1379 *  x0^1.0 + 0.6896 *  x1^1.0 + 0.6667 * 1,8.8903
15,0,UNKNOWN,4-multi,77.030107,,84.0224
150,1,TERMINATE,4-nested,0.870899,0.4927 *  x0^1.0 + 0.515 *  x1^1.0 + 0.6832 * 1,9.9889
151,1,TERMINATE,4-nested,0.867776,- 0.2656 *  x0^1.0 - 0.371 *  x1^1.0 + 1.686 * 1,8.0324
152,1,TERMINATE,1-nested,0.872184,0.0063 *  x0^1.0 + 0.5135 *  x1^1.0 + 0.3107 * 1,10.3818
153,1,TERMINATE,1-nested,0.817872,0.9345 *  x0^1.0 + 0.9345 *  x1^1.0 - 0.3056 *  x[2]^1.0 + 0.6667 * 1,6.9022
154,0,UNKNOWN,1-nested,0.96867,,8.5016
155,0,UNKNOWN,4-multi,6.633476,,15.3417
156,2,TERMINATE,1-nested,0.920699,0.9857 *  x1^1.0 + 0.9928 * 1; 0.9857 *  x0^1.0 + 0.9655 * 1,5.5696
157,0,UNKNOWN,1-nested,0.971278,,7.0925
158,1,TERMINATE,4-nested,0.76981,0.6383 *  x0^1.0 + 0.7362 *  x1^1.0 + 0.3137 * 1,11.0362
159,1,TERMINATE,4-nested,0.76965,0.2388 *  x0^1.0 + 0.4094 *  x1^1.0 + 0.2814 * 1,10.5103
160,1,TERMINATE,4-multi,0.816879,0.0615 *  x0^1 + 0.4718 * 1 + 0.4718 * 1,16.0084
161,1,TERMINATE,1-nested,1.117704,0.989 *  x0^1.0 + 0.989 *  x1^1.0 + 0.8211 * 1,9.5474
162,1,TERMINATE,4-multi,0.868001,- 0.7187 *  x0^1 + 0.9531 * 1 + 0.9531 * 1 + 0.9531 * 1,9.4617
163,1,TERMINATE,4-nested,0.819761,0.0231 *  x0^1.0 + 0.0341 *  x1^1.0 + 0.0145 *  x[2]^1.0 + 0.8582 * 1,9.3016
164,1,TERMINATE,4-nested,0.871005,0.0001 *  x0^1.0 - 0.4716 *  x1^1.0 + 0.531 *  x[2]^1.0 + 0.8877 * 1,8.3875
165,1,TERMINATE,1-nested,0.818221,0.8889 *  x0^1.0 + 0.6667 * 1,7.6051
166,1,TERMINATE,4-nested,0.818386,0.9272 *  x0^1.0 + 0.0027 *  x1^1.0 + 0.0089 *  x[2]^1.0 + 0.9092 * 1,11.7874
167,1,TERMINATE,4-multi,0.969077,0.4 * 1 + 0.9946 *  x1^1 + 0.4 * 1,10.5239
168,1,TERMINATE,4-nested,0.817361,0.9231 *  x0^1.0 + 0.6667 * 1,8.7527
169,0,UNKNOWN,1-nested,0.96815,,9.0964
170,0,UNKNOWN,1-nested,0.967928,,7.6029
171,1,TERMINATE,1-nested,0.818935,0.0198 *  x0^1.0 + 0.914 *  x1^1.0 + 0.9135 * 1,6.4317
2,2,TERMINATE,1-nested,0.918414,1.0 *  x1^1.0 + 1.0 * 1; 1.0 *  x0^1.0 + 1.0 * 1,7.606
