file,terminating,type,depth,time
0,NONTERM,multi,0,0.722276
1,TERMINATE,multi,1,1.222511
10,NONTERM,multi,0,0.723852
100,UNKNOWN,multi,0,145.09072
101,UNKNOWN,multi,0,2.470465
102,UNKNOWN,multi,0,23.824768
103,UNKNOWN,multi,0,22.820004
104,UNKNOWN,multi,0,2.274064
105,NONTERM,multi,0,0.718437
106,UNKNOWN,multi,0,21.853574
107,UNKNOWN,multi,0,95.530972
108,UNKNOWN,multi,0,6.881025
109,UNKNOWN,multi,0,16.557964
11,NONTERM,multi,0,0.717362
112,UNKNOWN,multi,0,1.271968
113,NONTERM,multi,0,0.718992
115,TERMINATE,multi,1,0.767492
116,UNKNOWN,multi,0,2.82367
117,NONTERM,multi,0,0.718803
119,NONTERM,multi,0,0.767794
12,NONTERM,multi,0,0.718544
120,NONTERM,multi,0,0.77001
121,UNKNOWN,multi,0,35.195544
122,NONTERM,multi,0,0.716898
123,NONTERM,multi,0,0.76737
125,NONTERM,multi,0,0.715899
126,TERMINATE,multi,2,1.716932
127,TERMINATE,multi,1,1.172023
129,UNKNOWN,multi,0,35.000611
13,NONTERM,multi,0,0.71738
131,NONTERM,multi,0,0.717447
132,TERMINATE,multi,1,0.871388
133,TERMINATE,multi,1,0.917701
136,UNKNOWN,multi,0,14.092105
140,NONTERM,multi,0,0.770127
144,TERMINATE,multi,2,3.977772
146,error,multi,,300.008172
147,error,multi,,300.008255
148,TERMINATE,multi,1,1.119737
149,TERMINATE,multi,1,0.774325
15,UNKNOWN,multi,0,74.491991
150,TERMINATE,multi,1,0.76752
151,TERMINATE,multi,1,1.119813
152,TERMINATE,multi,1,0.818138
153,TERMINATE,multi,1,1.569964
154,TERMINATE,multi,2,2.276971
155,UNKNOWN,multi,0,6.633133
156,TERMINATE,multi,2,1.619806
157,TERMINATE,multi,2,1.670437
158,TERMINATE,multi,1,1.167567
159,TERMINATE,multi,1,0.721511
160,TERMINATE,multi,1,0.767442
161,TERMINATE,multi,1,1.818877
162,TERMINATE,multi,1,0.921737
163,TERMINATE,multi,1,0.771137
164,TERMINATE,multi,1,1.46999
165,TERMINATE,multi,1,0.823998
166,TERMINATE,multi,1,1.567118
167,TERMINATE,multi,1,0.922914
168,TERMINATE,multi,1,0.769903
169,UNKNOWN,multi,0,1.569961
170,UNKNOWN,multi,0,23.972163
171,TERMINATE,multi,1,0.970039
2,TERMINATE,multi,2,1.569263
21,UNKNOWN,multi,0,1.769539
22,UNKNOWN,multi,0,3.971217
23,UNKNOWN,multi,0,3.926503
24,UNKNOWN,multi,0,1.921133
25,UNKNOWN,multi,0,8.738607
26,UNKNOWN,multi,0,10.699216
27,UNKNOWN,multi,0,73.702352
29,TERMINATE,multi,1,1.667856
2Nested-2,TERMINATE,multi,2,1.570984
2Nested_false-termination_true-valid-memsafety,UNKNOWN,multi,0,16.493531
30,TERMINATE,multi,1,0.92301
31,UNKNOWN,multi,0,10.896111
32,UNKNOWN,multi,0,11.038484
34,UNKNOWN,multi,0,29.490301
35,NONTERM,multi,0,0.717869
36,TERMINATE,multi,1,0.770616
38,UNKNOWN,multi,0,23.963315
39,NONTERM,multi,0,0.768384
4,UNKNOWN,multi,0,10.239821
40,NONTERM,multi,0,0.718946
42,NONTERM,multi,0,0.767358
43,NONTERM,multi,0,0.719194
46,UNKNOWN,multi,0,20.413187
47,NONTERM,multi,0,0.718966
48,NONTERM,multi,0,0.767748
49,NONTERM,multi,0,0.718578
4NestedWith3Variables-2,TERMINATE,multi,4,12.945741
50,UNKNOWN,multi,0,1.220097
51,TERMINATE,multi,2,1.619433
52,TERMINATE,multi,1,0.820767
53,NONTERM,multi,0,0.717134
55,TERMINATE,multi,1,1.417891
57,TERMINATE,multi,1,1.067723
58,TERMINATE,multi,1,0.717029
59,NONTERM,multi,0,0.767667
6,UNKNOWN,multi,0,2.976634
60,NONTERM,multi,0,0.767708
61,TERMINATE,multi,1,0.816645
62,unknown,multi,,0.918432
63,NONTERM,multi,0,0.770379
65,NONTERM,multi,0,0.768666
66,TERMINATE,multi,2,1.72051
67,TERMINATE,multi,2,2.422485
68,TERMINATE,multi,3,4.526451
7,TERMINATE,multi,4,42.415757
70,NONTERM,multi,0,0.820999
71,UNKNOWN,multi,0,2.12005
72,TERMINATE,multi,2,2.075121
73,TERMINATE,multi,2,7.585101
74,UNKNOWN,multi,0,4.380283
75,UNKNOWN,multi,0,3.97453
78,UNKNOWN,multi,0,17.998551
79,NONTERM,multi,0,0.7672
8,error,multi,,300.014062
80,UNKNOWN,multi,0,15.943312
81,UNKNOWN,multi,0,1.767529
82,UNKNOWN,multi,0,24.519719
83,TERMINATE,multi,1,1.269452
84,UNKNOWN,multi,0,4.02716
85,UNKNOWN,multi,0,10.38324
86,UNKNOWN,multi,0,10.795507
87,NONTERM,multi,0,0.775811
88,UNKNOWN,multi,0,9.487425
89,NONTERM,multi,0,0.767543
9,NONTERM,multi,0,0.71859
90,NONTERM,multi,0,0.718755
93,UNKNOWN,multi,0,4.026218
94,UNKNOWN,multi,0,3.872589
95,NONTERM,multi,0,0.722938
96,UNKNOWN,multi,0,22.714002
97,UNKNOWN,multi,0,1.722498
98,UNKNOWN,multi,0,29.132674
99,UNKNOWN,multi,0,9.494412
a.09_assume,TERMINATE,multi,1,1.520624
a.09_assume_false-no-overflow,TERMINATE,multi,1,1.370615
AliasDarteFeautrierGonnord-SAS2010-exmini,TERMINATE,multi,4,19.114184
AliasDarteFeautrierGonnord-SAS2010-terminate,TERMINATE,multi,4,19.560239
b.03-no-inv_assume,NONTERM,multi,0,0.769256
b.03_assume,TERMINATE,multi,2,1.721936
b.03_assume_false-no-overflow,TERMINATE,multi,2,1.469991
b.04,TERMINATE,multi,1,1.467438
Bangalore-1,NONTERM,multi,0,0.772218
Bangalore_v2,NONTERM,multi,0,0.767545
Bangalore_v3,NONTERM,multi,0,0.769301
Bangalore_v4,NONTERM,multi,0,0.76883
Cairo,UNKNOWN,multi,0,3.927705
Cairo_step2-2,UNKNOWN,multi,0,3.974371
ChenFlurMukhopadhyay-SAS2012-Ex2.01,TERMINATE,multi,2,1.569779
ChenFlurMukhopadhyay-SAS2012-Ex2.02,UNKNOWN,multi,0,15.658601
