file,result,llm_result,result_2ls,result_irank_complex,result_irank_simple,path
960521-1_1_true-valid-memsafety.c,YES,YES,YES,NO,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
Addition01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
afterrec_2calls_false-unreach-call.c,YES,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
BallRajamani-SPIN2000-Fig1_false-unreach-call.c,YES,NO,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
bist_cell_true-unreach-call_false-termination.cil.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
cdaudio_simpl1_false-unreach-call_true-termination.cil.c,YES,Failed,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
data_structures_set_multi_proc_false-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
diskperf_simpl1_true-unreach-call_true-termination.cil.c,YES,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
email_spec0_product05_true-unreach-call.cil.c,YES,Failed,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
EvenOdd01_true-unreach-call_true-termination.c,YES,YES,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
Fibonacci01_true-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
fibo_2calls_2_false-unreach-call.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
fibo_5_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
floppy_simpl3_false-unreach-call_true-termination.cil.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
gcd01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
id2_b2_o3_true-unreach-call.c,NO,YES,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
id_i10_o10_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
kbfiltr_simpl1_true-unreach-call_true-termination.cil.c,YES,NO,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
McCarthy91_false-unreach-call_false-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
mem_slave_tlm.1_true-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
minepump_spec1_product01_true-unreach-call.cil.c,NO,Failed,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_lcr-var-start-time.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_lcr-var-start-time.6_false-unreach-call.1.ufo.BOUNDED-12.pals.c,NO,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_lcr.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_lcr.8_false-unreach-call.1.ufo.BOUNDED-16.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
