file_name,category,is_stable,llm_is_terminating,llm_is_unknown,ref_is_terminating,ref_is_unknown,repeat_count,processing_time
svcomp_b.14-alloca.c,YES,True,True,False,True,False,2,3.76
svcomp_b.01-alloca.c,YES,True,True,False,True,False,2,3.36
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,YES,True,True,False,True,False,2,7.17
Et1_true.c,YES,True,False,False,True,False,2,6.03
svcomp_b.07.c,YES,True,True,False,True,False,2,2.7
svcomp_openbsd_cstrnlen_alloca.c,YES,True,True,False,True,False,2,3.62
standard_password_true-unreach-call_ground.c,YES,True,True,False,True,False,2,3.73
NestedRecursion_1d_true-termination.c,YES,True,False,False,True,False,2,4.56
svcomp_array02_alloca.c,YES,True,True,False,True,False,2,15.93
Et4_true.c,YES,True,False,False,True,False,2,6.9
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,YES,True,True,False,True,False,2,6.53
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,YES,True,True,False,True,False,2,6.06
svcomp_b.05.c,YES,False,False,False,True,False,2,9.06
sum_2x3_false-unreach-call.c,YES,True,True,False,True,False,2,2.86
desc_ll_search_last.c,YES,False,False,False,True,False,2,6.29
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,YES,True,True,False,True,False,2,11.56
svcomp_openbsd_cbzero_alloca.c,YES,True,True,False,True,False,2,7.99
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,YES,True,True,False,True,False,2,3.68
fibo_5_false-unreach-call.c,YES,True,True,False,True,False,2,12.62
svcomp_openbsd_cstrspn_alloca.c,YES,True,True,False,True,False,2,8.89
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,YES,True,False,False,True,False,2,4.87
Benghazi_nondet_true-termination.c,YES,False,False,False,True,False,2,3.39
svcomp_openbsd_cstrcpy_alloca.c,YES,True,True,False,True,False,2,5.75
svcomp_b.16-alloca.c,YES,True,True,False,True,False,2,4.99
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,True,True,False,True,False,2,4.55
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,YES,True,True,False,True,False,2,8.63
svcomp_subseq_alloca.c,YES,True,True,False,True,False,2,9.01
svcomp_cstrncpy_alloca.c,YES,True,True,False,True,False,2,6.56
TwoWay_true.c,YES,True,False,False,True,False,2,6.45
svcomp_insertionsort_alloca.c,YES,True,True,False,True,False,2,11.83
Masse-VMCAI2014-Ex6_true-termination.c,YES,True,False,False,True,False,2,5.09
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,YES,True,True,False,True,False,2,2.74
svcomp_b.09_assume-alloca.c,YES,True,True,False,True,False,2,7.38
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,YES,True,True,False,True,False,2,6.99
svcomp_openbsd_cstrncpy_alloca.c,YES,True,True,False,True,False,2,5.68
nondet_ll_init_rec.c,YES,True,True,False,True,False,2,7.08
svcomp_c.07.c,YES,True,True,False,True,False,2,3.59
svcomp_b.17.c,YES,True,True,False,True,False,2,5.21
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,True,True,False,True,False,2,5.44
svcomp_Toulouse-BranchesToLoop_true-alloca.c,YES,True,False,False,True,False,2,3.89
nondet_ll_traverse_rec.c,YES,True,True,False,True,False,2,6.21
svcomp_b.07-alloca.c,YES,True,True,False,True,False,2,3.43
svcomp_b.04-alloca.c,YES,True,True,False,True,False,2,3.93
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,YES,True,True,False,True,False,2,9.6
svcomp_b.03_assume.c,YES,False,False,False,True,False,2,3.08
Masse-VMCAI2014-Fig1a_true-termination.c,YES,True,True,False,True,False,2,8.59
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,YES,False,False,False,True,False,2,3.88
Bangalore_true-termination.c,YES,True,True,False,True,False,2,5.27
Overflow.c,YES,True,False,False,True,False,2,4.05
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,YES,True,True,False,True,False,2,4.3
svcomp_b.18-alloca.c,YES,True,True,False,True,False,2,4.54
PastaB3.c,YES,True,False,False,True,False,2,8.04
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,YES,True,True,False,True,False,2,2.81
