file_name,category,is_stable,llm_is_terminating,llm_is_unknown,ref_is_terminating,ref_is_unknown,repeat_count,processing_time
svcomp_b.14-alloca.c,YES,True,True,False,True,False,2,12.17
svcomp_b.01-alloca.c,YES,True,True,False,True,False,2,11.39
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,YES,True,True,False,True,False,2,13.61
Et1_true.c,YES,True,True,False,True,False,2,14.38
svcomp_b.07.c,YES,True,True,False,True,False,2,12.8
svcomp_openbsd_cstrnlen_alloca.c,YES,True,True,False,True,False,2,14.45
standard_password_true-unreach-call_ground.c,YES,True,True,False,True,False,2,11.42
NestedRecursion_1d_true-termination.c,YES,True,True,False,True,False,2,16.56
svcomp_array02_alloca.c,YES,True,True,False,True,False,2,12.98
Et4_true.c,YES,True,True,False,True,False,2,13.95
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,YES,True,True,False,True,False,2,12.5
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,YES,True,True,False,True,False,2,13.73
svcomp_b.05.c,YES,True,True,False,True,False,2,15.51
sum_2x3_false-unreach-call.c,YES,True,True,False,True,False,2,11.92
desc_ll_search_last.c,YES,True,True,False,True,False,2,11.66
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,YES,True,True,False,True,False,2,15.08
svcomp_openbsd_cbzero_alloca.c,YES,True,True,False,True,False,2,14.35
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,YES,True,True,False,True,False,2,10.8
fibo_5_false-unreach-call.c,YES,True,True,False,True,False,2,10.76
svcomp_openbsd_cstrspn_alloca.c,YES,True,True,False,True,False,2,14.41
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,YES,False,False,False,True,False,2,14.53
Benghazi_nondet_true-termination.c,YES,True,True,False,True,False,2,13.84
svcomp_openbsd_cstrcpy_alloca.c,YES,True,True,False,True,False,2,14.04
svcomp_b.16-alloca.c,YES,True,True,False,True,False,2,10.6
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,True,True,False,True,False,2,12.99
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,YES,True,True,False,True,False,2,13.5
svcomp_subseq_alloca.c,YES,True,True,False,True,False,2,11.61
svcomp_cstrncpy_alloca.c,YES,True,True,False,True,False,2,14.76
TwoWay_true.c,YES,True,True,False,True,False,2,13.95
svcomp_insertionsort_alloca.c,YES,True,True,False,True,False,2,10.98
Masse-VMCAI2014-Ex6_true-termination.c,YES,True,True,False,True,False,2,15.6
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,YES,True,True,False,True,False,2,12.18
svcomp_b.09_assume-alloca.c,YES,True,True,False,True,False,2,13.71
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,YES,True,True,False,True,False,2,14.29
svcomp_openbsd_cstrncpy_alloca.c,YES,True,True,False,True,False,2,16.03
nondet_ll_init_rec.c,YES,True,True,False,True,False,2,10.99
svcomp_c.07.c,YES,True,True,False,True,False,2,13.8
svcomp_b.17.c,YES,True,True,False,True,False,2,12.45
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,True,True,False,True,False,2,10.84
svcomp_Toulouse-BranchesToLoop_true-alloca.c,YES,True,True,False,True,False,2,13.53
nondet_ll_traverse_rec.c,YES,True,True,False,True,False,2,12.83
svcomp_b.07-alloca.c,YES,True,True,False,True,False,2,12.57
svcomp_b.04-alloca.c,YES,True,True,False,True,False,2,10.99
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,YES,True,True,False,True,False,2,13.87
svcomp_b.03_assume.c,YES,True,True,False,True,False,2,13.57
Masse-VMCAI2014-Fig1a_true-termination.c,YES,True,True,False,True,False,2,12.72
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,YES,False,False,False,True,False,2,19.02
Bangalore_true-termination.c,YES,True,True,False,True,False,2,12.29
Overflow.c,YES,True,False,False,True,False,2,10.86
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,YES,True,True,False,True,False,2,15.0
svcomp_b.18-alloca.c,YES,True,True,False,True,False,2,9.53
PastaB3.c,YES,True,True,False,True,False,2,13.44
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,YES,True,True,False,True,False,2,15.54
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,YES,True,True,False,True,False,2,12.88
svcomp_openbsd_cstrcmp_alloca.c,YES,True,True,False,True,False,2,14.37
svcomp_java_Continue1-alloca.c,YES,True,True,False,True,False,2,12.62
LeikeHeizmann-TACAS2014-Fig1_true-termination.c,YES,True,True,False,True,False,2,13.95
svcomp_a.04.c,YES,True,True,False,True,False,2,12.65
svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-alloca.c,YES,True,True,False,True,False,2,13.0
svcomp_java_AG313-alloca.c,YES,False,False,False,True,False,2,14.52
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,YES,True,True,False,True,False,2,11.6
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,YES,True,True,False,True,False,2,15.19
svcomp_flag-alloca.c,YES,True,True,False,True,False,2,12.82
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,YES,True,True,False,True,False,2,11.08
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,YES,True,True,False,True,False,2,15.41
svcomp_mult_array_alloca.c,YES,False,False,False,True,False,2,9.72
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,YES,True,True,False,True,False,2,13.19
HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c,YES,True,False,False,True,False,2,10.34
svcomp_a.09_assume-alloca.c,YES,True,True,False,True,False,2,13.26
svcomp_b.14.c,YES,True,True,False,True,False,2,13.8
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,YES,True,True,False,True,False,2,10.2
svcomp_openbsd_cstrpbrk_alloca.c,YES,True,True,False,True,False,2,14.07
afterrec_2calls_false-unreach-call.c,YES,True,True,False,True,False,2,14.21
svcomp_twisted-alloca.c,YES,True,True,False,True,False,2,17.99
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,YES,True,True,False,True,False,2,18.1
svcomp_a.06-alloca.c,YES,True,True,False,True,False,2,12.54
svcomp_java_Nested.c,YES,True,True,False,True,False,2,12.66
PastaB7.c,YES,True,True,False,True,False,2,9.53
svcomp_b.06.c,YES,True,True,False,True,False,2,12.36
rec_counter3.c,YES,True,True,False,True,False,2,20.35
svcomp_cstrspn_true_alloca.c,YES,True,True,False,True,False,2,17.4
svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-alloca.c,YES,True,True,False,True,False,2,14.87
id_i10_o10_false-unreach-call.c,YES,True,True,False,True,False,2,11.86
svcomp_openbsd_cstpcpy_alloca.c,YES,True,True,False,True,False,2,14.17
Arrays01-EquivalentConstantIndices_true-termination.c,YES,True,True,False,True,False,2,12.53
svcomp_fermat.c,YES,True,True,False,True,False,2,13.28
svcomp_cstrlen_true-termination.c,YES,True,True,False,True,False,2,13.65
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,YES,True,True,False,True,False,2,12.39
PastaA4.c,YES,True,True,False,True,False,2,12.94
svcomp_openbsd_cstrncmp_alloca.c,YES,True,True,False,True,False,2,13.42
svcomp_Fibonacci01_true-unreach-call_modified.c,YES,True,True,False,True,False,2,13.13
MinusBuiltIn.c,YES,True,True,False,True,False,2,11.15
svcomp_a.04-alloca.c,YES,True,True,False,True,False,2,11.5
Urban-WST2013-Fig2-modified1000_true-termination.c,YES,True,True,False,True,False,2,9.65
4BitCounterPointer_true-termination.c,YES,True,True,False,True,False,2,9.0
PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,YES,True,True,False,True,False,2,12.83
svcomp_openbsd_cstrstr_alloca.c,YES,True,True,False,True,False,2,16.63
easy1_true-termination.c,YES,True,True,False,True,False,2,7.95
PastaB11.c,YES,True,True,False,True,False,2,10.14
PastaB15.c,YES,True,True,False,True,False,2,14.44
aaron2_true-termination.c,YES,True,True,False,True,False,2,12.64
svcomp_NoriSharma-2013FSE-Fig8_true-alloca.c,YES,True,True,False,True,False,2,12.82
