ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,Y,Nested,2,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Single')]",18.88
LeikeHeizmann-TACAS2014-Ex9.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.49
ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.92
PastaA8_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",18.32
2.bpl,Y,Nested,3,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]",16.81
LeikeHeizmann-TACAS2014-Ex1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.52
Copenhagen.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.09
ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,Y,Nested,3,"[('NONTERM', 'MONO'), ('TERM', 'Nested'), ('TERM', 'Other')]",19.46
PodelskiRybalchenko-TACAS2011-Fig1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",13.0
ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",20.01
b.03_assume_false-no-overflow.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.86
171.bpl,Y,Nested,1,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Single')]",18.62
151.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",24.5
144.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",18.16
55.bpl,Y,Nested,1,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]",21.49
167.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",20.93
126.bpl,Y,Nested,2,"[('TERM', 'Nested'), ('TERM', 'Other'), ('TERM', 'Nested')]",22.06
PastaC7.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",16.99
2Nested-2.bpl,Y,Nested,2,"[('TERM', 'Nested'), ('TERM', 'Other'), ('TERM', 'Other')]",16.77
a.09_assume.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.62
ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Nested'), ('TERM', 'Single')]",18.72
61.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",18.18
73.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('NONTERM', 'MONO')]",24.42
158.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",25.68
162.bpl,Y,Nested,1,"[('TERM', 'Single'), ('NONTERM', 'MONO'), ('TERM', 'Single')]",26.5
133.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.3
154.bpl,Y,Nested,4,"[('NONTERM', 'MONO'), ('TERM', 'Single'), ('NONTERM', 'MONO')]",20.04
149.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",25.13
b.04.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.18
67.bpl,Y,Nested,2,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]",19.5
159.bpl,Y,Nested,1,"[('NONTERM', 'RECUR'), ('NONTERM', 'RECUR'), ('TERM', 'Single')]",18.98
15.bpl,Y,Nested,3,"[('TERM', 'Nested'), ('TERM', 'Multi'), ('TERM', 'Multi')]",17.42
ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",21.44
115.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.41
68.bpl,Y,Nested,3,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Nested')]",17.29
150.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",21.69
164.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",21.7
ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",16.83
LeikeHeizmann-TACAS2014-Fig1.bpl,Y,Nested,2,"[('NONTERM', 'MONO'), ('TERM', 'Other'), ('TERM', 'Single')]",19.27
83.bpl,Y,Nested,1,"[('NONTERM', 'RECUR'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]",25.12
PastaB6.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",13.1
30.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.38
148.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",19.64
36.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.26
72.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.72
Waldkirch.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",13.24
PastaA6_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.5
166.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",24.16
PastaA4.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.68
52.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.96
WhileDecr.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.12
PastaA5_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.92
PastaB2.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.48
156.bpl,Y,Nested,2,"[('NONTERM', 'MONO'), ('TERM', 'Other'), ('TERM', 'Other')]",19.21
PastaC7_false-no-overflow.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",15.74
PastaB4.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.08
1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",23.24
168.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",19.88
a.09_assume_false-no-overflow.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",18.21
163.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Other')]",21.51
152.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",20.46
57.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",14.53
132.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",12.86
b.03_assume.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",16.14
153.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Nested'), ('TERM', 'Nested')]",25.35
GulavaniGulwani-CAV2008-Fig1c.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",16.83
165.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",17.51
PastaB11_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",13.14
PastaB1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",13.05
160.bpl,Y,Nested,1,"[('TERM', 'Other'), ('NONTERM', 'OTHER'), ('TERM', 'Nested')]",15.68
ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,Y,Nested,2,"[('NONTERM', 'MONO'), ('TERM', 'Single'), ('TERM', 'Nested')]",23.62
ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,Y,Nested,2,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",29.33
58.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",16.0
66.bpl,Y,Nested,2,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]",18.49
29.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Other'), ('TERM', 'Single')]",15.85
127.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",25.15
161.bpl,Y,Nested,1,"[('TERM', 'Nested'), ('TERM', 'Single'), ('TERM', 'Other')]",28.15
