ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,Y,Nested,2,"[('NONTERM', 'OTHER'), ('TERM', 'Nested'), ('NONTERM', 'OTHER')]",5.72
LeikeHeizmann-TACAS2014-Ex9.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Nested'), ('TERM', 'Nested')]",4.53
ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,Y,Nested,1,"[('NONTERM', 'RECUR'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]",4.87
PastaA8_false-no-overflow_true-termination.bpl,Y,Nested,1,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]",2.88
2.bpl,Y,Nested,3,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Nested')]",2.45
2.bpl,Y,Nested,3,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]",2.72
LeikeHeizmann-TACAS2014-Ex1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Multi')]",2.37
Copenhagen.bpl,Y,Nested,1,"[('TERM', 'Single'), ('NONTERM', 'RECUR'), ('NONTERM', 'RECUR')]",2.85
ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,Y,Nested,3,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]",2.58
PodelskiRybalchenko-TACAS2011-Fig1.bpl,Y,Nested,1,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]",3.0
ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,Y,Nested,1,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]",2.61
b.03_assume_false-no-overflow.bpl,Y,Nested,1,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]",2.54
b.03_assume_false-no-overflow.bpl,Y,Nested,1,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]",2.98
171.bpl,Y,Nested,1,"[('NONTERM', 'OTHER'), ('TERM', 'Single'), ('NONTERM', 'OTHER')]",3.21
