filename,error_count,correct_count,time
ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,2,1,5.72
LeikeHeizmann-TACAS2014-Ex9.bpl,0,3,4.53
ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,3,0,4.87
PastaA8_false-no-overflow_true-termination.bpl,3,0,2.88
2.bpl,0,3,2.45
LeikeHeizmann-TACAS2014-Ex1.bpl,0,3,2.37
Copenhagen.bpl,2,1,2.85
ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,3,0,2.58
PodelskiRybalchenko-TACAS2011-Fig1.bpl,0,3,3.0
ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,3,0,2.61
b.03_assume_false-no-overflow.bpl,3,0,2.54
171.bpl,2,1,3.21
151.bpl,3,0,2.63
144.bpl,0,3,2.93
55.bpl,0,3,2.43
167.bpl,3,0,2.57
126.bpl,0,3,20.79
PastaC7.bpl,1,2,2.65
2Nested-2.bpl,3,0,2.77
a.09_assume.bpl,2,1,2.87
ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,3,0,2.76
61.bpl,0,3,11.2
73.bpl,3,0,2.41
158.bpl,2,1,2.39
162.bpl,1,2,7.33
133.bpl,0,3,2.66
154.bpl,3,0,2.34
149.bpl,0,3,2.23
b.04.bpl,3,0,2.89
67.bpl,0,3,2.56
159.bpl,1,2,2.85
15.bpl,0,3,2.94
ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,3,0,3.74
115.bpl,3,0,2.41
68.bpl,0,3,2.37
150.bpl,1,2,2.95
164.bpl,3,0,3.06
ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,3,0,4.04
LeikeHeizmann-TACAS2014-Fig1.bpl,3,0,2.34
83.bpl,3,0,2.73
PastaB6.bpl,2,1,3.78
30.bpl,3,0,2.63
148.bpl,3,0,3.01
36.bpl,0,3,2.53
72.bpl,3,0,3.09
Waldkirch.bpl,0,3,2.69
PastaA6_false-no-overflow_true-termination.bpl,2,1,2.97
166.bpl,0,3,6.81
PastaA4.bpl,0,3,2.78
52.bpl,0,3,2.92
WhileDecr.bpl,0,3,2.64
PastaA5_false-no-overflow_true-termination.bpl,3,0,2.72
PastaB2.bpl,0,3,6.25
156.bpl,3,0,2.34
PastaC7_false-no-overflow.bpl,1,2,4.92
PastaB4.bpl,3,0,3.54
1.bpl,0,3,4.19
168.bpl,0,3,3.15
a.09_assume_false-no-overflow.bpl,3,0,3.11
163.bpl,1,2,4.44
152.bpl,2,1,3.6
57.bpl,0,3,2.49
132.bpl,0,3,2.69
b.03_assume.bpl,3,0,2.75
153.bpl,3,0,2.71
GulavaniGulwani-CAV2008-Fig1c.bpl,0,3,2.34
165.bpl,3,0,2.61
PastaB11_false-no-overflow_true-termination.bpl,0,3,2.87
PastaB1.bpl,0,3,2.74
160.bpl,1,2,2.28
ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,3,0,2.7
ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,3,0,2.69
58.bpl,0,3,2.58
66.bpl,0,3,2.74
29.bpl,1,2,2.77
127.bpl,0,3,2.26
161.bpl,1,2,2.68
51.bpl,3,0,2.97
ColonSipma-TACAS2001-Fig1.bpl,3,0,2.45
PastaA7.bpl,2,1,2.67
PastaB7.bpl,0,3,2.91
157.bpl,3,0,2.84
AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,3,0,2.64
4NestedWith3Variables-2.bpl,3,0,2.87
AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,3,0,2.56
7.bpl,3,0,2.88
