file,result,error,time_taken,timestamp
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple5_false-termination.c",Maybe,"",0.31, 05:45:27
"TPDB_Y2024_filtered_VBS/Ultimate/Cairo_true-termination.c",Maybe,"",0.35, 05:45:27
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple8_false-termination.c",Maybe,"",0.34, 05:45:28
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple4_false-termination.c",Maybe,"",0.32, 05:45:28
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple3_false-termination.c",Maybe,"",0.23, 05:45:28
"TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Pointer_true-termination.c",Maybe,"",0.89, 05:45:29
"TPDB_Y2024_filtered_VBS/Ultimate/Pure3Phase_true-termination.c",Maybe,"",1.47, 05:45:31
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c",Maybe,"",0.10, 05:45:31
"TPDB_Y2024_filtered_VBS/Ultimate/WhileTrue_false-termination.c",Maybe,"",0.09, 05:45:31
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple6_false-termination.c",Maybe,"",0.16, 05:45:31
"TPDB_Y2024_filtered_VBS/Ultimate/Collatz_unknown-termination.c",Maybe,"",0.35, 05:45:31
"TPDB_Y2024_filtered_VBS/Ultimate/Lobnya-Boolean-Reordered_true-termination.c",Maybe,"",0.58, 05:45:32
"TPDB_Y2024_filtered_VBS/Ultimate/SyntaxSupportPointer01_true-termination.c",YES,"",0.60, 05:45:33
"TPDB_Y2024_filtered_VBS/Ultimate/RecursiveMultiplication_true-termination.c",YES,"",0.21, 05:45:33
"TPDB_Y2024_filtered_VBS/Ultimate/Rotation180_false-termination.c",Maybe,"",0.16, 05:45:33
"TPDB_Y2024_filtered_VBS/Ultimate/Madrid_false-termination.c",Maybe,"",0.09, 05:45:33
"TPDB_Y2024_filtered_VBS/Ultimate/Mysore_true-termination.c",Maybe,"",0.67, 05:45:34
"TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c",Failed,"Unexpected output: 2LS version 0.10.0
Parsing /root/term/TerminationDatabase/TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c
Converting
Type-checking 4BitCounterPointer_true-termination
Generating...",0.24, 05:45:34
"TPDB_Y2024_filtered_VBS/Ultimate/Bangalore_true-termination.c",YES,"",0.14, 05:45:34
"TPDB_Y2024_filtered_VBS/Ultimate/Nyala-2lex_true-termination.c",Maybe,"",0.38, 05:45:34
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c",Maybe,"",0.10, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/WhileFalse_true-termination.c",Maybe,"",0.09, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple7_false-termination.c",Maybe,"",0.16, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/Division_false-termination.c",Maybe,"",0.14, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/RecursiveNonterminating_false-termination.c",YES,"",0.16, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/Stockholm_true-termination.c",YES,"",0.18, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple9_false-termination.c",Maybe,"",0.16, 05:45:35
"TPDB_Y2024_filtered_VBS/Ultimate/NonTermination2_false-termination.c",Maybe,"",0.18, 05:45:36
"TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Array_true-termination.c",Maybe,"",0.22, 05:45:36
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c",YES,"",0.14, 05:45:36
"TPDB_Y2024_filtered_VBS/Ultimate/Parallel_true-termination.c",YES,"",0.17, 05:45:36
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple2_false-termination.c",Maybe,"",0.37, 05:45:37
"TPDB_Y2024_filtered_VBS/Ultimate/Gothenburg_true-termination.c",Maybe,"",0.83, 05:45:37
"TPDB_Y2024_filtered_VBS/Ultimate/NonTermination3_false-termination.c",Maybe,"",0.41, 05:45:38
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c",Maybe,"",5.04, 05:45:43
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c",Maybe,"",3.37, 05:45:46
