file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple5_false-termination.c,Maybe,0.31,Maybe,0.32,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Ultimate/Cairo_true-termination.c,Maybe,0.35,Maybe,0.36,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple8_false-termination.c,Maybe,0.34,Maybe,0.35,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple4_false-termination.c,Maybe,0.32,Maybe,0.33,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple3_false-termination.c,Maybe,0.23,Maybe,0.22,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Pointer_true-termination.c,Maybe,0.89,Maybe,0.9,Maybe,0.89,True
TPDB_Y2024_filtered_VBS/Ultimate/Pure3Phase_true-termination.c,Maybe,1.47,Maybe,1.45,Maybe,1.34,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c,Maybe,0.1,Maybe,0.09,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Ultimate/WhileTrue_false-termination.c,Maybe,0.09,Maybe,0.05,Maybe,0.06,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple6_false-termination.c,Maybe,0.16,Maybe,0.15,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Ultimate/Collatz_unknown-termination.c,Maybe,0.35,Maybe,0.34,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Ultimate/Lobnya-Boolean-Reordered_true-termination.c,Maybe,0.58,Maybe,0.58,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/Ultimate/SyntaxSupportPointer01_true-termination.c,YES,0.6,YES,0.43,YES,0.59,True
TPDB_Y2024_filtered_VBS/Ultimate/RecursiveMultiplication_true-termination.c,YES,0.21,YES,0.21,YES,0.2,True
TPDB_Y2024_filtered_VBS/Ultimate/Rotation180_false-termination.c,Maybe,0.16,Maybe,0.16,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/Madrid_false-termination.c,Maybe,0.09,Maybe,0.1,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Ultimate/Mysore_true-termination.c,Maybe,0.67,Maybe,0.5,Maybe,0.47,True
TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c,Failed,0.24,Failed,0.26,Failed,0.25,True
TPDB_Y2024_filtered_VBS/Ultimate/Bangalore_true-termination.c,YES,0.14,YES,0.13,YES,0.13,True
TPDB_Y2024_filtered_VBS/Ultimate/Nyala-2lex_true-termination.c,Maybe,0.38,Maybe,0.26,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c,Maybe,0.1,Maybe,0.1,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Ultimate/WhileFalse_true-termination.c,Maybe,0.09,Maybe,0.07,Maybe,0.08,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple7_false-termination.c,Maybe,0.16,Maybe,0.12,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/Division_false-termination.c,Maybe,0.14,Maybe,0.14,Maybe,0.11,True
TPDB_Y2024_filtered_VBS/Ultimate/RecursiveNonterminating_false-termination.c,YES,0.16,YES,0.13,YES,0.15,True
TPDB_Y2024_filtered_VBS/Ultimate/Stockholm_true-termination.c,YES,0.18,YES,0.18,YES,0.18,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple9_false-termination.c,Maybe,0.16,Maybe,0.12,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTermination2_false-termination.c,Maybe,0.18,Maybe,0.12,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Array_true-termination.c,Maybe,0.22,Maybe,0.23,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c,YES,0.14,YES,0.11,YES,0.14,True
TPDB_Y2024_filtered_VBS/Ultimate/Parallel_true-termination.c,YES,0.17,YES,0.17,YES,0.12,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple2_false-termination.c,Maybe,0.37,Maybe,0.26,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Ultimate/Gothenburg_true-termination.c,Maybe,0.83,Maybe,0.84,Maybe,0.57,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTermination3_false-termination.c,Maybe,0.41,Maybe,0.29,Maybe,0.39,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c,Maybe,5.04,Maybe,5.07,Maybe,4.45,True
