file,result,error,time_taken
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple5_false-termination.c",Maybe,"",0.32
"TPDB_Y2024_filtered_VBS/Ultimate/Cairo_true-termination.c",Maybe,"",0.36
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple8_false-termination.c",Maybe,"",0.35
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple4_false-termination.c",Maybe,"",0.33
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple3_false-termination.c",Maybe,"",0.22
"TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Pointer_true-termination.c",Maybe,"",0.90
"TPDB_Y2024_filtered_VBS/Ultimate/Pure3Phase_true-termination.c",Maybe,"",1.45
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c",Maybe,"",0.09
"TPDB_Y2024_filtered_VBS/Ultimate/WhileTrue_false-termination.c",Maybe,"",0.05
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple6_false-termination.c",Maybe,"",0.15
"TPDB_Y2024_filtered_VBS/Ultimate/Collatz_unknown-termination.c",Maybe,"",0.34
"TPDB_Y2024_filtered_VBS/Ultimate/Lobnya-Boolean-Reordered_true-termination.c",Maybe,"",0.58
"TPDB_Y2024_filtered_VBS/Ultimate/SyntaxSupportPointer01_true-termination.c",YES,"",0.43
"TPDB_Y2024_filtered_VBS/Ultimate/RecursiveMultiplication_true-termination.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Ultimate/Rotation180_false-termination.c",Maybe,"",0.16
"TPDB_Y2024_filtered_VBS/Ultimate/Madrid_false-termination.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Ultimate/Mysore_true-termination.c",Maybe,"",0.50
"TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c",Failed,"Unexpected output: 2LS version 0.10.0
Parsing /root/term/TerminationDatabase/TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c
Converting
Type-checking 4BitCounterPointer_true-termination
Generating...",0.26
"TPDB_Y2024_filtered_VBS/Ultimate/Bangalore_true-termination.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Ultimate/Nyala-2lex_true-termination.c",Maybe,"",0.26
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Ultimate/WhileFalse_true-termination.c",Maybe,"",0.07
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple7_false-termination.c",Maybe,"",0.12
"TPDB_Y2024_filtered_VBS/Ultimate/Division_false-termination.c",Maybe,"",0.14
"TPDB_Y2024_filtered_VBS/Ultimate/RecursiveNonterminating_false-termination.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Ultimate/Stockholm_true-termination.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple9_false-termination.c",Maybe,"",0.12
"TPDB_Y2024_filtered_VBS/Ultimate/NonTermination2_false-termination.c",Maybe,"",0.12
"TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Array_true-termination.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c",YES,"",0.11
"TPDB_Y2024_filtered_VBS/Ultimate/Parallel_true-termination.c",YES,"",0.17
"TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple2_false-termination.c",Maybe,"",0.26
"TPDB_Y2024_filtered_VBS/Ultimate/Gothenburg_true-termination.c",Maybe,"",0.84
"TPDB_Y2024_filtered_VBS/Ultimate/NonTermination3_false-termination.c",Maybe,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c",Maybe,"",5.07
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c",Maybe,"",3.42
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c",YES,"",0.17
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c",YES,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8b_true-termination.c",Maybe,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.08.c",YES,"",0.53
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_01.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv3.c",Maybe,"",0.25
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c",Maybe,"",0.58
"TPDB_Y2024_filtered_VBS/Stroeder_15/WhileDecr.c",YES,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c",Maybe,"",1.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple5_false-termination.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/GCD3.c",YES,"",0.49
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_00.c",Maybe,"",0.09
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c",Maybe,"",2.22
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c",YES,"",3.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c",YES,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c",YES,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/DivWithoutMinus.c",Maybe,"",0.68
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_12.c",TIMEOUT,"Analysis timed out after 300 seconds",300.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/Flip2.c",Maybe,"",1.14
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB4.c",YES,"",0.17
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB11.c",YES,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c",Maybe,"",1.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c",Maybe,"",0.40
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex3a.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/Middle.c",Maybe,"",7.05
"TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c",Maybe,"",0.74
"TPDB_Y2024_filtered_VBS/Stroeder_15/AlternKonv.c",Maybe,"",0.35
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.06.c",YES,"",0.49
"TPDB_Y2024_filtered_VBS/Stroeder_15/Benghazi_true-termination.c",TIMEOUT,"Analysis timed out after 300 seconds",300.12
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB16.c",YES,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/Cairo_true-termination.c",Maybe,"",0.36
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Break.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWidening.c",Maybe,"",0.61
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.09_assume.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/Loop.c",Maybe,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple8_false-termination.c",Maybe,"",0.34
"TPDB_Y2024_filtered_VBS/Stroeder_15/MinusUserDefined.c",Maybe,"",0.66
"TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c",YES,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA6.c",Maybe,"",6.83
"TPDB_Y2024_filtered_VBS/Stroeder_15/Marbie1.c",Maybe,"",0.38
"TPDB_Y2024_filtered_VBS/Stroeder_15/Et1.c",Maybe,"",0.86
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_22.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c",Maybe,"",2.44
"TPDB_Y2024_filtered_VBS/Stroeder_15/Ex03.c",Maybe,"",0.12
"TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv2.c",Maybe,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.07.c",YES,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/min_rf_true-termination.c",Maybe,"",1.17
"TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig1_true-termination.c",YES,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.01.c",YES,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/UpAndDown.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv.c",Maybe,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c",Maybe,"",0.56
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c",Maybe,"",0.59
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex2_true-termination.c",Maybe,"",0.22
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c",Maybe,"",0.35
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c",Maybe,"",4.15
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.02.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c",Maybe,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c",YES,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8a_true-termination.c",Maybe,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c",Maybe,"",6.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_21.c",Maybe,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c",Maybe,"",0.43
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB1.c",YES,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.09_assume.c",Maybe,"",0.26
"TPDB_Y2024_filtered_VBS/Stroeder_15/WhileIncr.c",Maybe,"",0.35
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_04.c",Maybe,"",1.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/Ex05.c",Maybe,"",0.07
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA8.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Fig1_true-termination.c",Maybe,"",0.68
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC1.c",Maybe,"",0.28
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple4_false-termination.c",Maybe,"",0.25
"TPDB_Y2024_filtered_VBS/Stroeder_15/Urban-WST2013-Fig2_true-termination.c",YES,"",0.14
"TPDB_Y2024_filtered_VBS/Stroeder_15/Flip.c",Maybe,"",113.04
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA1.c",YES,"",0.26
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple3_false-termination.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/easy1_true-termination.c",YES,"",0.17
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/Nested.c",YES,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_24.c",Maybe,"",0.14
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.18.c",YES,"",0.39
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_10.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/Lcm.c",Maybe,"",0.33
"TPDB_Y2024_filtered_VBS/Stroeder_15/GCD.c",Maybe,"",37.58
