file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"while_infinite_loop_2.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/while_infinite_loop_2.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/while_infinite_loop_2.c_general_out",1.43,1.44,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/while_infinite_loop_2.c"
"for_infinite_loop_2.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/for_infinite_loop_2.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/for_infinite_loop_2.c_general_out",1.44,1.49,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/for_infinite_loop_2.c"
"count_up_down-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/count_up_down-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/count_up_down-1.c_general_out",1.60,269.20,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/count_up_down-1.c"
"for_infinite_loop_1.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/for_infinite_loop_1.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/for_infinite_loop_1.c_general_out",1.46,1.54,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/for_infinite_loop_1.c"
"trex03-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/trex03-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/trex03-2.c_general_out",2.02,255.08,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/trex03-2.c"
"terminator_03-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/terminator_03-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/terminator_03-2.c_general_out",1.52,294.46,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/terminator_03-2.c"
"while_infinite_loop_1.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/while_infinite_loop_1.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/while_infinite_loop_1.c_general_out",1.44,1.48,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/while_infinite_loop_1.c"
"sum03-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum03-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum03-2.c_general_out",2.50,275.60,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/sum03-2.c"
"sum04-2.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum04-2.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum04-2.c_general_out",1.63,1.38,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/sum04-2.c"
"sum01-2.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum01-2.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum01-2.c_general_out",40.82,41.61,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/sum01-2.c"
"terminator_02-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/terminator_02-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/terminator_02-2.c_general_out",1.32,264.20,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops/terminator_02-2.c"
"simple_vardep_2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_vardep_2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_vardep_2.c_general_out",287.20,141.21,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_2.c"
"simple_vardep_1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_vardep_1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_vardep_1.c_general_out",287.25,141.10,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_1.c"
"loop3.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop3.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop3.c_general_out",1.31,1.34,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop3.c"
"loop1-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop1-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop1-1.c_general_out",3.32,3.50,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop1-1.c"
"loop2-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop2-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loop2-2.c_general_out",1.93,2.28,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop2-2.c"
"simple_3-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_3-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_3-2.c_general_out",1.60,263.23,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/simple_3-2.c"
"underapprox_1-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/underapprox_1-2.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/underapprox_1-2.c_general_out",1.64,1.40,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/underapprox_1-2.c"
"simple_2-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_2-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_2-1.c_general_out",1.49,266.59,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/simple_2-1.c"
"simple_1-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_1-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_1-2.c_general_out",1.55,274.03,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/simple_1-2.c"
"simple_4-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_4-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/simple_4-2.c_general_out",1.52,273.78,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/simple_4-2.c"
"diamond_1-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/diamond_1-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/diamond_1-1.c_general_out",2.03,246.79,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/diamond_1-1.c"
"const_1-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/const_1-1.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/const_1-1.c_general_out",1.60,31.68,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/const_1-1.c"
"multivar_1-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/multivar_1-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/multivar_1-1.c_general_out",1.73,268.77,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/multivar_1-1.c"
"diamond_2-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/diamond_2-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/diamond_2-2.c_general_out",20.29,246.83,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/diamond_2-2.c"
"phases_2-2.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/phases_2-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/phases_2-2.c_general_out",1.58,261.03,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/phases_2-2.c"
"overflow_1-1.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/overflow_1-1.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/overflow_1-1.c_general_out",1.47,1.54,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/overflow_1-1.c"
"underapprox_2-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/underapprox_2-2.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/underapprox_2-2.c_general_out",1.64,1.42,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/underapprox_2-2.c"
"phases_1-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/phases_1-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/phases_1-1.c_general_out",287.81,141.00,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loop-acceleration/phases_1-1.c"
"sumt8.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt8.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt8.c_general_out",292.70,140.57,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt8.c"
"sumt7.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt7.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt7.c_general_out",292.58,140.43,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt7.c"
"loopv3.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loopv3.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loopv3.c_general_out",1.95,2.26,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/loopv3.c"
"iftelse.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/iftelse.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/iftelse.c_general_out",4.37,255.70,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/iftelse.c"
"loopv1.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loopv1.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/loopv1.c_general_out",1.82,2.19,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/loopv1.c"
"sumt4.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt4.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt4.c_general_out",295.30,141.40,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt4.c"
"mono-crafted_11.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/mono-crafted_11.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/mono-crafted_11.c_general_out",287.26,140.93,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_11.c"
"sumt9.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt9.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt9.c_general_out",2.85,262.38,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt9.c"
"sum_natnum.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum_natnum.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sum_natnum.c_general_out",1.66,275.27,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sum_natnum.c"
"sumt2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt2.c_general_out",269.05,136.30,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt2.c"
"sumt3.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt3.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/sumt3.c_general_out",287.09,138.94,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/sumt3.c"
"vnew2.c",FAILED,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/vnew2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/vnew2.c_general_out",307.27,148.72,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/vnew2.c"
"mono-crafted_10.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/mono-crafted_10.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/mono-crafted_10.c_general_out",1.73,274.90,"Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_10.c"
