file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
01.c,lasso,UNKNOWN,,,Non-termination arguments:,1.276s,0.539s,4.150s,270MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/01.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/01.c
04.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -2*main::y + 2*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.742s,0.986s,5.010s,440MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/04.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/04.c
05.c,lasso,UNKNOWN,"Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -1*main::x + 1*main::__CPAchecker_TMP_1 + 1; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 4*main::__CPAchecker_TMP_2 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [4*main::y - 3*main::x >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,2.794s,2.045s,7.650s,530MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/05.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/05.c
08.c,lasso,UNKNOWN,"Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 3*main::__CPAchecker_TMP_2 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,2.497s,1.762s,6.230s,517MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/08.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/08.c
1.c,lasso,UNKNOWN,,,Non-termination arguments:,0.955s,0.210s,3.080s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/1.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/1.c
10.c,lasso,UNKNOWN,,,Non-termination arguments:,1.010s,0.250s,3.260s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/10.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/10.c
12.c,lasso,UNKNOWN,,,Non-termination arguments:,0.989s,0.237s,3.190s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/12.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/12.c
2.c,lasso,UNKNOWN,,,Non-termination arguments:,0.962s,0.211s,3.070s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/2.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/2.c
21.c,lasso,UNKNOWN,,,Non-termination arguments:,0.871s,0.133s,2.850s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/21.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/21.c
22.c,lasso,UNKNOWN,,,Non-termination arguments:,0.885s,0.130s,2.860s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/22.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/22.c
