file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
01.c,general,FALSE,,,Non-termination arguments:,0.994s,0.452s,3.960s,262MB,terminationAnalysis.properties,terminationAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/01.c_general_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/01.c
01.c,lasso,UNKNOWN,,,Non-termination arguments:,1.276s,0.539s,4.150s,270MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/01.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/01.c
02.c,general,FALSE,"Ranking function f(main::__CPAchecker_TMP_2, main::x) = 5*main::__CPAchecker_TMP_2 - 5*main::x + 4; Ranking function f(main::__CPAchecker_TMP_1, main::i, main::w) = 6*main::__CPAchecker_TMP_1 + 4*main::i - 3*main::w; Ranking function f(main::__CPAchecker_TMP_2, main::__CPAchecker_TMP_1, main::z, main::w) = -9*main::__CPAchecker_TMP_2 - 9*main::__CPAchecker_TMP_1 + 8*main::z - 9*main::w",Supporting invariants []; Supporting invariants [6*main::y + 4*main::i - 3*main::w - 4 >= 0]; Supporting invariants [17*main::z - 15 >= 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {(_%_ |main::z| 2)=1, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=0, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0} Honda state: {(_%_ |main::z| 2)=1, main::w=2, main::x=1, main::__CPAchecker_TMP_2=0, main::z=1, main::y=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=-1, main::j=0, main::i=1} Generalized eigenvectors: [{(_%_ |main::z| 2)=0, main::w=1, main::x=0, main::__CPAchecker_TMP_2=0, main::z=-4, main::y=3, main::__CPAchecker_TMP_1=3, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=4, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=1, main::x=1, main::__CPAchecker_TMP_2=1, main::z=4, main::y=-2, main::__CPAchecker_TMP_1=-2, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}] Lambdas: [0, 1, 1] Nus: [1, 0]",2.197s,1.641s,11.540s,524MB,terminationAnalysis.properties,terminationAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/02.c_general_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/02.c
02.c,lasso,FALSE,"Ranking function f(main::__CPAchecker_TMP_2, main::x) = 5*main::__CPAchecker_TMP_2 - 5*main::x + 4; Ranking function f(main::__CPAchecker_TMP_1, main::i, main::w) = 6*main::__CPAchecker_TMP_1 + 4*main::i - 3*main::w; Ranking function f(main::__CPAchecker_TMP_2, main::__CPAchecker_TMP_1, main::z, main::w) = -9*main::__CPAchecker_TMP_2 - 9*main::__CPAchecker_TMP_1 + 8*main::z - 9*main::w",Supporting invariants []; Supporting invariants [6*main::y + 4*main::i - 3*main::w - 4 >= 0]; Supporting invariants [17*main::z - 15 >= 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {(_%_ |main::z| 2)=1, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=0, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0} Honda state: {(_%_ |main::z| 2)=1, main::w=2, main::x=1, main::__CPAchecker_TMP_2=0, main::z=1, main::y=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=-1, main::j=0, main::i=1} Generalized eigenvectors: [{(_%_ |main::z| 2)=0, main::w=1, main::x=0, main::__CPAchecker_TMP_2=0, main::z=-4, main::y=3, main::__CPAchecker_TMP_1=3, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=0, main::x=0, main::__CPAchecker_TMP_2=0, main::z=4, main::y=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}, {(_%_ |main::z| 2)=0, main::w=1, main::x=1, main::__CPAchecker_TMP_2=1, main::z=4, main::y=-2, main::__CPAchecker_TMP_1=-2, main::__CPAchecker_TMP_0=0, main::j=0, main::i=0}] Lambdas: [0, 1, 1] Nus: [1, 0]",2.161s,1.406s,8.380s,482MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/02.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/02.c
04.c,general,FALSE,,,Non-termination arguments:,0.830s,0.284s,2.750s,262MB,terminationAnalysis.properties,terminationAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/04.c_general_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/04.c
04.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -2*main::y + 2*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.742s,0.986s,5.010s,440MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/04.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/LinearArbitrary-SeaHorn/pie/hola/04.c
05.c,general,UNKNOWN,"Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -1*main::x + 1*main::__CPAchecker_TMP_1 + 1; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 4*main::__CPAchecker_TMP_2 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [4*main::y - 3*main::x >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,265.640s,265.092s,300.000s,1951MB,terminationAnalysis.properties,terminationAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/05.c_general_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/05.c
05.c,lasso,UNKNOWN,"Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -1*main::x + 1*main::__CPAchecker_TMP_1 + 1; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_2) = -3*main::x + 4*main::__CPAchecker_TMP_2 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::x, main::__CPAchecker_TMP_1) = -3*main::x + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_2) = -3*main::y + 3*main::__CPAchecker_TMP_2 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [4*main::y - 3*main::x >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,2.794s,2.045s,7.650s,530MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/05.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/05.c
07.c,general,TRUE,"Ranking function f(main::j, main::__CPAchecker_TMP_1) = -3*main::j + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::i, main::__CPAchecker_TMP_0) = -3*main::i + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::i, main::n) = -1*main::i + 1*main::n",Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.492s,0.944s,7.550s,323MB,terminationAnalysis.properties,terminationAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/07.c_general_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/07.c
07.c,lasso,TRUE,"Ranking function f(main::j, main::__CPAchecker_TMP_1) = -3*main::j + 3*main::__CPAchecker_TMP_1 + 2; Ranking function f(main::i, main::__CPAchecker_TMP_0) = -3*main::i + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::i, main::n) = -1*main::i + 1*main::n",Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.367s,0.617s,4.690s,278MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/07.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/accelerating_invariant_generation/cav/07.c
