file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"svcomp_b.14-alloca.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.14-alloca.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.14-alloca.c_general_out",2.39,259.40,"../EvolveTerm/data/tpdb_known/c_term/svcomp_b.14-alloca.c"
"svcomp_b.01-alloca.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.01-alloca.c_lasso_out",NO,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.01-alloca.c_general_out",1.89,1.39,"../EvolveTerm/data/tpdb_known/c_term/svcomp_b.01-alloca.c"
"ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c",YES,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c_general_out",1.33,1.39,"../EvolveTerm/data/tpdb_known/c_term/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c"
"Et1_true.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/Et1_true.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/Et1_true.c_general_out",1.08,2.10,"../EvolveTerm/data/tpdb_known/c_term/Et1_true.c"
"svcomp_b.07.c",YES,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.07.c_lasso_out",YES,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_b.07.c_general_out",1.45,1.54,"../EvolveTerm/data/tpdb_known/c_term/svcomp_b.07.c"
"svcomp_openbsd_cstrnlen_alloca.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_openbsd_cstrnlen_alloca.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_openbsd_cstrnlen_alloca.c_general_out",1.57,267.09,"../EvolveTerm/data/tpdb_known/c_term/svcomp_openbsd_cstrnlen_alloca.c"
"standard_password_true-unreach-call_ground.c",FAILED,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/standard_password_true-unreach-call_ground.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/standard_password_true-unreach-call_ground.c_general_out",307.37,150.45,"../EvolveTerm/data/tpdb_known/c_term/standard_password_true-unreach-call_ground.c"
"NestedRecursion_1d_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/NestedRecursion_1d_true-termination.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/NestedRecursion_1d_true-termination.c_general_out",1.11,1.71,"../EvolveTerm/data/tpdb_known/c_term/NestedRecursion_1d_true-termination.c"
"svcomp_array02_alloca.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_array02_alloca.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/svcomp_array02_alloca.c_general_out",1.61,269.36,"../EvolveTerm/data/tpdb_known/c_term/svcomp_array02_alloca.c"
"Et4_true.c",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/Et4_true.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/tpdb_known429term/cpaouts/Et4_true.c_general_out",1.14,283.30,"../EvolveTerm/data/tpdb_known/c_term/Et4_true.c"
