file,result,has_error,error_detail,exit_code,result_source,time_taken,full_log,ultimate_log,processed_time,path,Datasets,spec,architecture,timeout,enbale_fulloutput,ultimate_root,command
3pieces_Caterina_TACAS16.c,YES,0,,0,stdout_stderr,4.38,Results/ultimate/ultiouts/c_bench_term/3pieces_Caterina_TACAS16.c-ultimate-svtermprp.log,,2026-01-22 16:56:21,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16.c
3pieces_Caterina_TACAS16_modif_1.c,YES,0,,0,stdout_stderr,15.30,Results/ultimate/ultiouts/c_bench_term/3pieces_Caterina_TACAS16_modif_1.c-ultimate-svtermprp.log,,2026-01-22 16:56:37,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_1.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_1.c
3pieces_Caterina_TACAS16_modif_2.c,YES,0,,0,stdout_stderr,102.36,Results/ultimate/ultiouts/c_bench_term/3pieces_Caterina_TACAS16_modif_2.c-ultimate-svtermprp.log,,2026-01-22 16:58:19,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_2.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_2.c
3pieces_Caterina_TACAS16_modif_3.c,TIMEOUT,1,Analysis timed out after 300 seconds,,timeout,300.10,,,2026-01-22 17:03:19,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_3.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/3pieces_Caterina_TACAS16_modif_3.c
4NestedWith2Variables_false-no-overflow.c,YES,0,,0,stdout_stderr,3.85,Results/ultimate/ultiouts/c_bench_term/4NestedWith2Variables_false-no-overflow.c-ultimate-svtermprp.log,,2026-01-22 17:03:23,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/4NestedWith2Variables_false-no-overflow.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/4NestedWith2Variables_false-no-overflow.c
4NestedWith3Variables_false-no-overflow.c,YES,0,,0,stdout_stderr,5.05,Results/ultimate/ultiouts/c_bench_term/4NestedWith3Variables_false-no-overflow.c-ultimate-svtermprp.log,,2026-01-22 17:03:28,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/4NestedWith3Variables_false-no-overflow.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/4NestedWith3Variables_false-no-overflow.c
AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,YES,0,,0,stdout_stderr,5.63,Results/ultimate/ultiouts/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c-ultimate-svtermprp.log,,2026-01-22 17:03:34,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,YES,0,,0,stdout_stderr,4.54,Results/ultimate/ultiouts/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c-ultimate-svtermprp.log,,2026-01-22 17:03:38,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,YES,0,,0,stdout_stderr,4.60,Results/ultimate/ultiouts/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c-ultimate-svtermprp.log,,2026-01-22 17:03:43,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,YES,0,,0,stdout_stderr,4.33,Results/ultimate/ultiouts/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c-ultimate-svtermprp.log,,2026-01-22 17:03:47,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,aeval171term,/home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp,32bit,300,1,/home/clexma/Desktop/fox3/TermDB/UAutomizer-linux,/usr/bin/python3 /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/Ultimate.py --config /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/config --data /home/clexma/Desktop/fox3/TermDB/UAutomizer-linux/data --full-output --architecture 32bit --spec /home/clexma/Desktop/fox3/TermDB/svcomp_examples/sv-benchmarks/c/properties/termination.prp --file ../EvolveTerm/data/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c
