filename,category,claude3.7_nonterm_type,claude3.7_avg_time,claude3.7_consistent,claude3.7_results,claude3.7_times,gpt-4o_nonterm_type,gpt-4o_avg_time,gpt-4o_consistent,gpt-4o_results,gpt-4o_times,gpt-o4-mini_nonterm_type,gpt-o4-mini_avg_time,gpt-o4-mini_consistent,gpt-o4-mini_results,gpt-o4-mini_times
2Nested_false-termination.c,GEOMETRIC,DIVERGENT,4.92,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.31', '1.32', '7.14')",GEOMETRIC,1.10,False,"('GEOMETRIC', 'GEOMETRIC', 'DIVERGENT')","('1.11', '1.17', '1.01')",DIVERGENT,15.17,False,"('DIVERGENT', 'OTHER', 'DIVERGENT')","('15.31', '19.05', '11.16')"
Ackermann_false-termination.c,FunctionCall,RECUR,1.50,True,"('RECUR', 'RECUR', 'RECUR')","('1.53', '1.52', '1.46')",RECUR,2.23,True,"('RECUR', 'RECUR', 'RECUR')","('0.83', '1.69', '4.16')",RECUR,8.94,True,"('RECUR', 'RECUR', 'RECUR')","('8.81', '12.21', '5.79')"
AlternDiv.c,RECUR,RECUR,4.94,False,"('RECUR', 'RECUR', 'DIVERGENT')","('4.72', '4.98', '5.12')",RECUR,0.77,True,"('RECUR', 'RECUR', 'RECUR')","('0.77', '0.75', '0.81')",DIVERGENT,13.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('13.98', '10.00', '17.73')"
AlternDivWide.c,RECUR,RECUR,5.81,True,"('RECUR', 'RECUR', 'RECUR')","('5.77', '6.07', '5.58')",RECUR,0.77,True,"('RECUR', 'RECUR', 'RECUR')","('0.72', '0.85', '0.73')",DIVERGENT,14.36,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.57', '13.13', '19.37')"
AlternDivWidening.c,GEOMETRIC,RECUR,3.69,True,"('RECUR', 'RECUR', 'RECUR')","('1.52', '8.31', '1.25')",RECUR,0.85,True,"('RECUR', 'RECUR', 'RECUR')","('0.86', '0.87', '0.82')",DIVERGENT,19.93,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('24.06', '18.24', '17.49')"
AlternKonv.c,RECUR,RECUR,5.21,True,"('RECUR', 'RECUR', 'RECUR')","('5.51', '5.40', '4.72')",RECUR,0.95,True,"('RECUR', 'RECUR', 'RECUR')","('0.85', '0.87', '1.12')",RECUR,18.64,True,"('RECUR', 'RECUR', 'RECUR')","('25.55', '19.61', '10.75')"
Arrays02-EquivalentConstantIndices_false-termination.c,Memory,RECUR,5.04,True,"('RECUR', 'RECUR', 'RECUR')","('4.93', '4.67', '5.52')",RECUR,0.74,False,"('RECUR', 'OTHER', 'DIVERGENT')","('0.72', '0.76', '0.74')",OTHER,9.80,True,"('OTHER', 'OTHER', 'OTHER')","('8.79', '11.17', '9.43')"
Bangalore_false-termination.c,RECUR,DIVERGENT,5.47,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.03', '5.31', '6.07')",DIVERGENT,0.81,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.93', '0.74', '0.76')",DIVERGENT,7.33,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.62', '7.30', '8.08')"
Bangalore_v2_false-termination.c,RECUR,RECUR,4.83,True,"('RECUR', 'RECUR', 'RECUR')","('5.13', '5.53', '3.84')",DIVERGENT,0.87,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.91', '0.81', '0.89')",DIVERGENT,7.62,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('8.04', '9.19', '5.63')"
Bangalore_v3_false-termination.c,RECUR,DIVERGENT,5.92,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.26', '6.00', '5.51')",DIVERGENT,0.96,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.95', '0.96', '0.96')",DIVERGENT,18.11,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.39', '35.22', '8.73')"
