file,result,llm_result_chatgpt4o,result_2ls,result_irank_complex,result_irank_simple,path,is_stable_chatgpt4o,llm_result_o4mini,is_stable_o4mini,llm_result_claude3.7,is_stable_claude3.7,llm_result_deepseekr1,is_stable_deepseekr1
960521-1_1_true-valid-memsafety.c,YES,YES,YES,NO,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
Addition01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
afterrec_2calls_false-unreach-call.c,YES,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,Failed,False,YES,True,YES,True
BallRajamani-SPIN2000-Fig1_false-unreach-call.c,YES,NO,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,Failed,False,Failed,False,YES,True
bist_cell_true-unreach-call_false-termination.cil.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,YES,True,MISSING,
cdaudio_simpl1_false-unreach-call_true-termination.cil.c,YES,Failed,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,YES,True,YES,True,Failed,False
data_structures_set_multi_proc_false-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
diskperf_simpl1_true-unreach-call_true-termination.cil.c,YES,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,YES,True,YES,True,YES,True
email_spec0_product05_true-unreach-call.cil.c,YES,Failed,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,YES,True,YES,True,YES,True
EvenOdd01_true-unreach-call_true-termination.c,YES,YES,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
Fibonacci01_true-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
fibo_2calls_2_false-unreach-call.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
fibo_5_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
floppy_simpl3_false-unreach-call_true-termination.cil.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
gcd01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
id2_b2_o3_true-unreach-call.c,NO,YES,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,YES,True,MISSING,
id_i10_o10_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
kbfiltr_simpl1_true-unreach-call_true-termination.cil.c,YES,NO,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
McCarthy91_false-unreach-call_false-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
mem_slave_tlm.1_true-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,YES,True,MISSING,
minepump_spec1_product01_true-unreach-call.cil.c,NO,Failed,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,NO,True,Failed,False,MISSING,
pals_floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pals_lcr-var-start-time.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pals_lcr-var-start-time.6_false-unreach-call.1.ufo.BOUNDED-12.pals.c,NO,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,YES,True,YES,True,MISSING,
pals_lcr.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pals_lcr.8_false-unreach-call.1.ufo.BOUNDED-16.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pals_opt-floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,False,YES,True,YES,True,MISSING,
pals_STARTPALS_ActiveStandby_false-unreach-call.1.ufo.BOUNDED-10.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pals_STARTPALS_Triplicated_false-unreach-call.1.ufo.BOUNDED-10.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
pc_sfifo_1_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,Failed,False,Failed,False,MISSING,
Primes_true-unreach-call.c,NO,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,Failed,False,YES,True,MISSING,
Problem02_label00_true-unreach-call.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,NO,True,MISSING,
recHanoi01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,YES,True
s3_clnt_1_false-unreach-call.cil.c,YES,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,Failed,False
s3_srvr_14_false-unreach-call.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,Failed,False,Failed,False,MISSING,
s3_srvr_1_false-unreach-call.cil.c,NO,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,NO,True,MISSING,
standard_compare_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
standard_copy7_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,MISSING,
standard_password_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,Failed,False
stateful_check_false-unreach-call.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,NO,True,MISSING,
