file,svmr_result,cpalasso_result,cpalasso_cost_time,Ultimate0122_result,Ultimate_timecost,loop_condition_variables_count,array_operator,lines,has_break,ET+cpalasso,ET+Ultimate
3pieces_Caterina_TACAS16.c,Terminate,Unknown,3.38,Terminate,4.38,1,FALSE,14,FALSE,Terminate,Terminate
3pieces_Caterina_TACAS16_modif_1.c,Terminate,Unknown,3.25,Terminate,15.3,1,FALSE,14,FALSE,Terminate,Terminate
3pieces_Caterina_TACAS16_modif_2.c,Unknown,Unknown,1.72,Terminate,102.36,1,FALSE,13,FALSE,Other,Terminate
3pieces_Caterina_TACAS16_modif_3.c,Terminate,Unknown,1.4,TIMEOUT,300.1,1,FALSE,16,FALSE,Terminate,Terminate
4NestedWith2Variables_false-no-overflow.c,Unknown,Unknown,1.45,Terminate,3.85,1,FALSE,14,FALSE,Other,Terminate
4NestedWith3Variables_false-no-overflow.c,Unknown,Unknown,1.55,Terminate,5.05,1,FALSE,16,FALSE,Other,Terminate
AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,Unknown,Terminate,2.68,Terminate,5.63,3,FALSE,24,FALSE,Terminate,Terminate
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,Unknown,Terminate,1.67,Terminate,4.54,1,FALSE,17,FALSE,Terminate,Terminate
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,Unknown,Terminate,51.22,Terminate,4.6,2,FALSE,19,FALSE,Terminate,Terminate
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,Unknown,Terminate,1.72,Terminate,4.33,2,FALSE,21,FALSE,Terminate,Terminate
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c,Unknown,Unknown,1.69,Terminate,4.39,1,FALSE,20,FALSE,Other,Terminate
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c,Failed,Terminate,1.89,Terminate,4.65,2,FALSE,20,FALSE,Terminate,Terminate
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c,Terminate,Terminate,1.64,Terminate,4.34,2,FALSE,17,FALSE,Terminate,Terminate
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified1.c,Terminate,Terminate,1.87,Terminate,4.42,3,FALSE,21,FALSE,Terminate,Terminate
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified2.c,Terminate,Unknown,1.51,Terminate,4.5,3,FALSE,21,FALSE,Terminate,Terminate
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c,Terminate,Terminate,1.85,Terminate,4.42,3,FALSE,21,FALSE,Terminate,Terminate
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,Unknown,Terminate,2.64,Terminate,4.15,2,FALSE,23,FALSE,Terminate,Terminate
Cairo_true-no-overflow_true-termination_true-valid-memsafety.c,Terminate,Terminate,1.42,Terminate,3.95,1,FALSE,13,FALSE,Terminate,Terminate
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c,Failed,Nonterminate,1.82,Unknown,9.39,2,FALSE,19,FALSE,Other,Other
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,Unknown,Unknown,296.28,Terminate,4.22,4,FALSE,29,FALSE,Other,Terminate
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,Failed,Terminate,1.55,Terminate,3.86,5,FALSE,24,FALSE,Terminate,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1.c,Terminate,Unknown,1.33,Unknown,5.4,1,FALSE,10,FALSE,Terminate,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2.c,Unknown,Unknown,1.36,Unknown,5.75,1,FALSE,10,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3.c,Unknown,Unknown,1.43,Unknown,6.68,2,FALSE,12,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4.c,Unknown,Unknown,1.4,Unknown,6.26,2,FALSE,14,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5.c,Unknown,Nonterminate,1.31,Nonterminate,3.56,1,FALSE,13,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6.c,Unknown,Unknown,1.4,Unknown,6.35,2,FALSE,12,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow.c,Terminate,Unknown,1.38,Unknown,5.48,1,FALSE,10,FALSE,Terminate,Terminate
