file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,CPA-lasso_result,CPA-lasso_time,CPA-general_result,CPA-general_time,AProVE-online24,Ultimate-online,AProVE-online25,MuVal-online,Ultimate0122_result,Ultimate0122_time_taken,ET+CPA,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
svcomp_b.14-alloca.c,unknown,UNKNOWN,FAILED,0.23,FAILED,0.338493109,MAYBE,4.59,MAYBE,4.61,YES,YES,YES,YES,YES,4.82,Unknown,Nested,2,2,2,False,False,True,False,True,25,C,loop,
svcomp_b.01-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.469380379,MAYBE,3.86,MAYBE,4.01,YES,YES,YES,YES,YES,4.1,Unknown,Linear,1,1,2,False,False,True,False,True,22,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,unknown,UNKNOWN,MAYBE,0.23,YES,1.563355684,YES,2.41,YES,2.89,YES,YES,YES,YES,YES,3.64,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
Et1_true.c,,,YES,0.18,FAILED,0.332017422,MAYBE,2.16,FAILED,2.25,YES,YES,YES,YES,YES,4.49,Unknown,,0,0,0,False,False,True,False,False,42,C,recur,non-tail
svcomp_b.07.c,failed,ERROR,YES,0.24,YES,1.425033331,YES,3.06,YES,3.66,YES,YES,YES,YES,YES,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,
svcomp_openbsd_cstrnlen_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.336959839,MAYBE,2.34,MAYBE,2.39,YES,MAYBE,YES,YES,MAYBE,3.04,Unknown,Linear,1,1,2,False,False,True,True,True,35,C,loop,
standard_password_true-unreach-call_ground.c,unknown,UNKNOWN,FAILED,0.21,YES,3.667263746,TIMEOUT,300.15,TIMEOUT,300.15,YES,timeout,YES,YES,TIMEOUT,300.09,Unknown,Multiple,2,1,2,False,False,True,True,False,20,C,loop,
NestedRecursion_1d_true-termination.c,,,YES,0.3,FAILED,0.439768076,MAYBE,2.14,FAILED,2.21,YES,YES,YES,error,YES,6.62,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail
svcomp_array02_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.47786808,MAYBE,3.52,MAYBE,3.51,YES,MAYBE,YES,timeout,TIMEOUT,300.01,Unknown,Nested,3,2,3,False,False,True,True,True,29,C,loop,
Et4_true.c,,,YES,0.27,FAILED,0.434231043,MAYBE,1.86,FAILED,1.88,YES,YES,YES,YES,YES,4.66,Unknown,,0,0,0,False,False,True,False,True,49,C,recur,non-tail
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,unknown,UNKNOWN,MAYBE,1.44,YES,8.93021965,MAYBE,8.13,MAYBE,5.44,YES,YES,YES,YES,YES,5.62,Unknown,Nested,2,2,2,False,False,True,False,False,33,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,Terminate,TERMINATE,MAYBE,0.42,YES,1.557750702,MAYBE,2.93,MAYBE,3.22,YES,YES,YES,YES,YES,3.71,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
svcomp_b.05.c,Terminate,TERMINATE,YES,0.19,YES,2.417295218,YES,2.26,YES,2.75,YES,YES,timeout,YES,YES,3.71,Terminate,Linear,1,1,1,False,False,True,False,True,15,C,loop,
sum_2x3_false-unreach-call.c,,,YES,0.19,FAILED,0.319595098,MAYBE,2.12,FAILED,2.12,YES,MAYBE,YES,YES,YES,3.95,Unknown,,0,0,0,False,False,True,False,False,18,C,recur,tail
desc_ll_search_last.c,failed,ERROR,MAYBE,0.91,FAILED,0.468629837,MAYBE,4.71,MAYBE,5.05,YES,timeout,YES,timeout,MAYBE,16.87,Unknown,Multiple,2,1,5,False,False,True,False,True,37,C,loop,
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,unknown,UNKNOWN,MAYBE,0.57,YES,4.663552046,YES,4.55,TIMEOUT,300.05,YES,YES,YES,timeout,YES,5.34,Terminate,Nested,3,2,6,False,False,True,False,True,33,C,loop,
svcomp_openbsd_cbzero_alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.344233751,MAYBE,3.19,MAYBE,3.22,YES,MAYBE,YES,YES,MAYBE,9.74,Unknown,Linear,1,1,1,False,False,True,False,True,30,C,loop,
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,unknown,UNKNOWN,MAYBE,6.23,YES,2.803284168,YES,3.49,YES,4.12,YES,YES,YES,YES,YES,3.76,Terminate,Linear,1,1,2,False,False,True,False,False,27,C,loop,
fibo_5_false-unreach-call.c,,,YES,0.16,FAILED,0.333745003,MAYBE,2.09,FAILED,2.19,YES,MAYBE,YES,error,YES,9.37,Unknown,,0,0,0,False,False,True,False,False,30,C,recur,non-tail
svcomp_openbsd_cstrspn_alloca.c,unknown,UNKNOWN,FAILED,0.2,FAILED,0.349011183,MAYBE,2.78,MAYBE,2.96,YES,MAYBE,YES,error,MAYBE,10.25,Unknown,Linear,1,1,2,False,False,True,True,True,45,C,loop,
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,failed,ERROR,MAYBE,2.17,YES,23.1144588,YES,3.46,YES,4.76,YES,YES,YES,YES,YES,4.64,Terminate,Linear,1,1,3,False,False,True,False,True,32,C,loop,
Benghazi_nondet_true-termination.c,failed,ERROR,MAYBE,163.16,YES,2.094527721,YES,3.46,TIMEOUT,300.04,YES,YES,YES,YES,YES,3.92,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,
svcomp_openbsd_cstrcpy_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.472301245,MAYBE,3.29,MAYBE,3.42,YES,MAYBE,YES,timeout,MAYBE,9.5,Unknown,Linear,1,1,2,False,False,True,True,True,30,C,loop,
svcomp_b.16-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.344576597,MAYBE,3.78,MAYBE,4.58,YES,YES,YES,YES,YES,5.06,Unknown,Nested,2,2,2,False,False,True,False,True,26,C,loop,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,failed,ERROR,YES,0.28,YES,1.546123505,YES,2.58,YES,3.21,YES,YES,YES,YES,YES,3.97,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Terminate,TERMINATE,MAYBE,0.6,YES,31.93115854,YES,4.37,YES,6.02,YES,YES,YES,timeout,YES,5.16,Terminate,Nested,3,2,4,False,False,True,False,True,23,C,loop,
svcomp_subseq_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.343412638,MAYBE,3.31,MAYBE,3.37,YES,MAYBE,YES,timeout,MAYBE,10.68,Unknown,Linear,1,1,2,False,False,True,True,True,33,C,loop,
svcomp_cstrncpy_alloca.c,failed,"ERROR,UNKNOWN",FAILED,0.23,FAILED,0.344888687,MAYBE,4.07,MAYBE,4.14,YES,MAYBE,YES,YES,YES,4.97,Unknown,Nested,2,2,2,True,False,True,True,True,42,C,loop,
TwoWay_true.c,,,YES,0.28,FAILED,0.328836918,MAYBE,2.22,FAILED,2.21,YES,YES,YES,YES,YES,4.49,Unknown,,0,0,0,False,False,True,False,True,50,C,recur,non-tail
svcomp_insertionsort_alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.469213724,MAYBE,3.16,MAYBE,3.44,YES,MAYBE,YES,YES,YES,5.07,Unknown,Nested,2,2,5,False,False,True,True,True,26,C,loop,
Masse-VMCAI2014-Ex6_true-termination.c,unknown,UNKNOWN,YES,0.23,YES,2.071326494,MAYBE,2.69,MAYBE,2.78,YES,YES,YES,YES,YES,4.38,Unknown,Linear,1,1,1,False,False,True,False,False,24,C,loop,
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,unknown,UNKNOWN,YES,0.3,YES,1.739848137,YES,2.67,YES,3.5,YES,YES,YES,YES,YES,3.84,Terminate,Linear,1,1,1,False,False,True,False,False,29,C,loop,
svcomp_b.09_assume-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.348290682,MAYBE,2.8,MAYBE,3.61,YES,YES,YES,YES,YES,76.65,Unknown,Linear,1,1,1,False,False,True,False,True,34,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,failed,ERROR,MAYBE,0.42,YES,1.589332104,YES,2.96,YES,3.51,YES,YES,YES,YES,YES,3.68,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
svcomp_openbsd_cstrncpy_alloca.c,unknown,UNKNOWN,FAILED,0.19,FAILED,0.473563671,MAYBE,4.01,MAYBE,3.6,YES,MAYBE,YES,YES,MAYBE,10.71,Unknown,Nested,2,2,1,True,False,True,True,True,42,C,loop,
nondet_ll_init_rec.c,,,YES,0.47,FAILED,0.345979214,MAYBE,1.91,FAILED,1.94,YES,timeout,YES,error,YES,4.61,Unknown,,0,0,0,False,False,True,False,True,23,C,recur,non-tail
svcomp_c.07.c,failed,ERROR,YES,0.39,YES,1.741048336,YES,3.17,YES,4.93,YES,YES,YES,YES,YES,4.0,Terminate,Linear,1,1,1,False,False,True,False,True,18,C,loop,
svcomp_b.17.c,unknown,UNKNOWN,YES,0.4,YES,2.84706378,YES,2.67,YES,3.29,YES,YES,YES,YES,YES,4.11,Terminate,Nested,2,2,3,False,False,True,False,False,19,C,loop,
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,failed,ERROR,YES,0.25,YES,9.721589327,YES,4.06,YES,5.62,YES,YES,YES,YES,YES,4.69,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,
svcomp_Toulouse-BranchesToLoop_true-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.470495701,MAYBE,6.42,MAYBE,7.13,YES,YES,YES,YES,YES,4.46,Unknown,Linear,1,1,2,False,False,True,False,True,21,C,loop,
nondet_ll_traverse_rec.c,,,YES,0.46,FAILED,0.477694273,MAYBE,2.44,MAYBE,2.68,YES,timeout,YES,error,MAYBE,17.3,Unknown,,0,0,0,False,False,True,False,True,30,C,recur,non-tail
svcomp_b.07-alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.471010923,MAYBE,5.08,MAYBE,5.04,YES,YES,YES,YES,YES,4.36,Unknown,Linear,1,1,2,False,False,True,False,True,25,C,loop,
svcomp_b.04-alloca.c,Terminate,TERMINATE,FAILED,0.24,FAILED,0.474460125,MAYBE,3.8,MAYBE,3.6,YES,YES,YES,YES,YES,3.99,Terminate,Linear,1,1,2,False,False,True,False,True,23,C,loop,
