file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
svcomp_b.14-alloca.c,Unknown,Unknown,Failed,0.23,Failed,0.338493109,Unknown,4.59,Unknown,4.61,Unknown,2.39,Unknown,259.40,Terminate,Terminate,Terminate,Terminate,Terminate,4.82,Unknown,Nested,2,2,2,False,False,True,False,True,25,C,loop,
svcomp_b.01-alloca.c,failed,Failed,Failed,0.24,Failed,0.469380379,Unknown,3.86,Unknown,4.01,Unknown,1.89,Nonterminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,4.1,Unknown,Linear,1,1,2,False,False,True,False,True,22,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,Unknown,Unknown,Unknown,0.23,Terminate,1.563355684,Terminate,2.41,Terminate,2.89,Terminate,1.33,Terminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.64,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
Et1_true.c,,,Terminate,0.18,Failed,0.332017422,Unknown,2.16,Failed,2.25,Unknown,1.08,Unknown,2.10,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,,0,0,0,False,False,True,False,False,42,C,recur,non-tail
svcomp_b.07.c,failed,Failed,Terminate,0.24,Terminate,1.425033331,Terminate,3.06,Terminate,3.66,Terminate,1.45,Terminate,1.54,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,
svcomp_openbsd_cstrnlen_alloca.c,failed,Failed,Failed,0.24,Failed,0.336959839,Unknown,2.34,Unknown,2.39,Unknown,1.57,Unknown,267.09,Terminate,Unknown,Terminate,Terminate,Unknown,3.04,Unknown,Linear,1,1,2,False,False,True,True,True,35,C,loop,
standard_password_true-unreach-call_ground.c,Unknown,Unknown,Failed,0.21,Terminate,3.667263746,TIMEOUT,300.15,TIMEOUT,300.15,Failed,307.37,Unknown,150.45,Terminate,timeout,Terminate,Terminate,TIMEOUT,300.09,Unknown,Multiple,2,1,2,False,False,True,True,False,20,C,loop,
NestedRecursion_1d_true-termination.c,,,Terminate,0.3,Failed,0.439768076,Unknown,2.14,Failed,2.21,Unknown,1.11,Unknown,1.71,Terminate,Terminate,Terminate,Failed,Terminate,6.62,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail
svcomp_array02_alloca.c,failed,Failed,Failed,0.24,Failed,0.47786808,Unknown,3.52,Unknown,3.51,Unknown,1.61,Unknown,269.36,Terminate,Unknown,Terminate,timeout,TIMEOUT,300.01,Unknown,Nested,3,2,3,False,False,True,True,True,29,C,loop,
Et4_true.c,,,Terminate,0.27,Failed,0.434231043,Unknown,1.86,Failed,1.88,Unknown,1.14,Unknown,283.30,Terminate,Terminate,Terminate,Terminate,Terminate,4.66,Unknown,,0,0,0,False,False,True,False,True,49,C,recur,non-tail
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,Unknown,Unknown,Unknown,1.44,Terminate,8.93021965,Unknown,8.13,Unknown,5.44,Unknown,3.49,Unknown,270.84,Terminate,Terminate,Terminate,Terminate,Terminate,5.62,Unknown,Nested,2,2,2,False,False,True,False,False,33,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,Terminate,TERMINATE,Unknown,0.42,Terminate,1.557750702,Unknown,2.93,Unknown,3.22,Unknown,1.37,Nonterminate,1.24,Terminate,Terminate,Terminate,Terminate,Terminate,3.71,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
svcomp_b.05.c,Terminate,TERMINATE,Terminate,0.19,Terminate,2.417295218,Terminate,2.26,Terminate,2.75,Terminate,1.46,Terminate,1.54,Terminate,Terminate,timeout,Terminate,Terminate,3.71,Terminate,Linear,1,1,1,False,False,True,False,True,15,C,loop,
sum_2x3_false-unreach-call.c,,,Terminate,0.19,Failed,0.319595098,Unknown,2.12,Failed,2.12,Unknown,1.08,Unknown,284.39,Terminate,Unknown,Terminate,Terminate,Terminate,3.95,Unknown,,0,0,0,False,False,True,False,False,18,C,recur,tail
desc_ll_search_last.c,failed,Failed,Unknown,0.91,Failed,0.468629837,Unknown,4.71,Unknown,5.05,Unknown,2.27,Unknown,286.34,Terminate,timeout,Terminate,timeout,Unknown,16.87,Unknown,Multiple,2,1,5,False,False,True,False,True,37,C,loop,
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,Unknown,Unknown,Unknown,0.57,Terminate,4.663552046,Terminate,4.55,TIMEOUT,300.05,Terminate,2.13,Terminate,2.59,Terminate,Terminate,Terminate,timeout,Terminate,5.34,Terminate,Nested,3,2,6,False,False,True,False,True,33,C,loop,
