file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,Unknown,Unknown,Unknown,0.23,Terminate,1.563355684,Terminate,2.41,Terminate,2.89,Terminate,1.33,Terminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.64,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_b.07.c,failed,Failed,Terminate,0.24,Terminate,1.425033331,Terminate,3.06,Terminate,3.66,Terminate,1.45,Terminate,1.54,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,Terminate,TERMINATE,Unknown,0.42,Terminate,1.557750702,Unknown,2.93,Unknown,3.22,Unknown,1.37,Nonterminate,1.24,Terminate,Terminate,Terminate,Terminate,Terminate,3.71,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,True,False,True
svcomp_b.05.c,Terminate,TERMINATE,Terminate,0.19,Terminate,2.417295218,Terminate,2.26,Terminate,2.75,Terminate,1.46,Terminate,1.54,Terminate,Terminate,timeout,Terminate,Terminate,3.71,Terminate,Linear,1,1,1,False,False,True,False,True,15,C,loop,,True,True,True
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,Unknown,Unknown,Unknown,0.57,Terminate,4.663552046,Terminate,4.55,TIMEOUT,300.05,Terminate,2.13,Terminate,2.59,Terminate,Terminate,Terminate,timeout,Terminate,5.34,Terminate,Nested,3,2,6,False,False,True,False,True,33,C,loop,,False,True,True
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,Unknown,Unknown,Unknown,6.23,Terminate,2.803284168,Terminate,3.49,Terminate,4.12,Terminate,1.67,Terminate,1.78,Terminate,Terminate,Terminate,Terminate,Terminate,3.76,Terminate,Linear,1,1,2,False,False,True,False,False,27,C,loop,,False,True,True
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,failed,Failed,Unknown,2.17,Terminate,23.1144588,Terminate,3.46,Terminate,4.76,Terminate,1.9,Terminate,2.19,Terminate,Terminate,Terminate,Terminate,Terminate,4.64,Terminate,Linear,1,1,3,False,False,True,False,True,32,C,loop,,False,True,True
Benghazi_nondet_true-termination.c,failed,Failed,Unknown,163.16,Terminate,2.094527721,Terminate,3.46,TIMEOUT,300.04,Terminate,1.91,Terminate,2.14,Terminate,Terminate,Terminate,Terminate,Terminate,3.92,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,failed,Failed,Terminate,0.28,Terminate,1.546123505,Terminate,2.58,Terminate,3.21,Terminate,1.45,Terminate,1.55,Terminate,Terminate,Terminate,Terminate,Terminate,3.97,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Terminate,TERMINATE,Unknown,0.6,Terminate,31.93115854,Terminate,4.37,Terminate,6.02,Terminate,1.96,Terminate,2.65,Terminate,Terminate,Terminate,timeout,Terminate,5.16,Terminate,Nested,3,2,4,False,False,True,False,True,23,C,loop,,True,True,True
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,Unknown,Unknown,Terminate,0.3,Terminate,1.739848137,Terminate,2.67,Terminate,3.5,Terminate,1.5,Terminate,1.67,Terminate,Terminate,Terminate,Terminate,Terminate,3.84,Terminate,Linear,1,1,1,False,False,True,False,False,29,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,failed,Failed,Unknown,0.42,Terminate,1.589332104,Terminate,2.96,Terminate,3.51,Terminate,1.58,Nonterminate,1.4,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_c.07.c,failed,Failed,Terminate,0.39,Terminate,1.741048336,Terminate,3.17,Terminate,4.93,Terminate,1.54,Terminate,1.75,Terminate,Terminate,Terminate,Terminate,Terminate,4.0,Terminate,Linear,1,1,1,False,False,True,False,True,18,C,loop,,False,True,True
svcomp_b.17.c,Unknown,Unknown,Terminate,0.4,Terminate,2.84706378,Terminate,2.67,Terminate,3.29,Terminate,1.88,Terminate,2.25,Terminate,Terminate,Terminate,Terminate,Terminate,4.11,Terminate,Nested,2,2,3,False,False,True,False,False,19,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,failed,Failed,Terminate,0.25,Terminate,9.721589327,Terminate,4.06,Terminate,5.62,Terminate,2.07,Terminate,2.36,Terminate,Terminate,Terminate,Terminate,Terminate,4.69,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,,False,True,True
svcomp_b.04-alloca.c,Terminate,TERMINATE,Failed,0.24,Failed,0.474460125,Unknown,3.8,Unknown,3.6,Unknown,1.99,Unknown,291.27,Terminate,Terminate,Terminate,Terminate,Terminate,3.99,Terminate,Linear,1,1,2,False,False,True,False,True,23,C,loop,,True,False,True
Bangalore_true-termination.c,Unknown,Unknown,Terminate,0.14,Terminate,0.985501289,Terminate,2.67,Terminate,3.04,Terminate,1.48,Terminate,1.53,Terminate,Terminate,Terminate,Terminate,Terminate,3.79,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,,False,True,True
Overflow.c,Unknown,Unknown,Unknown,0.07,Terminate,0.819419384,Terminate,2.14,Terminate,2.56,Terminate,1.53,Terminate,1.65,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Terminate,Linear,1,1,1,False,False,True,False,False,14,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,Terminate,TERMINATE,Unknown,0.69,Terminate,1.787369728,Unknown,4.39,Unknown,5.61,Unknown,1.95,Unknown,272.34,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Terminate,Linear,1,1,2,False,False,True,False,False,28,C,loop,,True,False,True
