file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,Unknown,Unknown,Unknown,0.57,Terminate,4.663552046,Terminate,4.55,TIMEOUT,300.05,Terminate,2.13,Terminate,2.59,Terminate,Terminate,Terminate,timeout,Terminate,5.34,Terminate,Nested,3,2,6,False,False,True,False,True,33,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Terminate,TERMINATE,Unknown,0.6,Terminate,31.93115854,Terminate,4.37,Terminate,6.02,Terminate,1.96,Terminate,2.65,Terminate,Terminate,Terminate,timeout,Terminate,5.16,Terminate,Nested,3,2,4,False,False,True,False,True,23,C,loop,,True,True,True
svcomp_b.17.c,Unknown,Unknown,Terminate,0.4,Terminate,2.84706378,Terminate,2.67,Terminate,3.29,Terminate,1.88,Terminate,2.25,Terminate,Terminate,Terminate,Terminate,Terminate,4.11,Terminate,Nested,2,2,3,False,False,True,False,False,19,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,failed,Failed,Unknown,0.2,Terminate,2.413120031,Terminate,3.59,Terminate,4.37,Terminate,1.72,Terminate,2.12,Terminate,Terminate,Terminate,Terminate,Terminate,4.75,Terminate,Nested,2,2,2,False,False,True,False,True,30,C,loop,,False,True,True
svcomp_b.14.c,Terminate,TERMINATE,Terminate,0.62,Terminate,2.049182177,Terminate,3.47,Terminate,4.08,Terminate,1.65,Terminate,2.17,Terminate,Terminate,Terminate,Terminate,Terminate,4.08,Terminate,Nested,2,2,2,False,False,True,False,True,18,C,loop,,True,True,True
svcomp_java_Nested.c,failed,"ERROR,TERMINATE",Terminate,0.6,Terminate,2.028608322,Terminate,4.52,Terminate,5.22,Terminate,2.04,Terminate,1.86,Terminate,Terminate,Terminate,Terminate,Terminate,4.84,Terminate,Multiple,2,1,2,False,False,True,False,False,10,C,loop,,False,True,True
PastaB15.c,Unknown,Unknown,Terminate,0.27,Terminate,2.651130438,Terminate,3.57,Terminate,4.42,Terminate,1.66,Terminate,2.01,Terminate,Terminate,Terminate,Terminate,Terminate,4.14,Terminate,Nested,2,2,3,False,False,True,False,True,21,C,loop,,False,True,True
Nested.c,Unknown,Unknown,Terminate,0.29,Terminate,1.724766731,Terminate,4.53,Terminate,5.0,Terminate,2.09,Terminate,1.3,Terminate,Terminate,Terminate,Terminate,Terminate,4.02,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,failed,Failed,Terminate,0.24,Terminate,1.869081497,Terminate,6.4,TIMEOUT,300.04,Terminate,2.89,Terminate,3.4,Terminate,Terminate,Terminate,Terminate,Terminate,4.81,Terminate,Nested,2,2,2,False,False,True,False,True,21,C,loop,,False,True,True
svcomp_a.01.c,failed,Failed,Terminate,0.49,Terminate,1.790472984,Terminate,2.68,Terminate,3.52,Terminate,1.7,Terminate,2.04,Terminate,Terminate,Terminate,Terminate,Terminate,4.43,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
