file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
svcomp_b.14-alloca.c,Unknown,Unknown,Failed,0.23,Failed,0.338493109,Unknown,4.59,Unknown,4.61,Unknown,2.39,Unknown,259.4,Terminate,Terminate,Terminate,Terminate,Terminate,4.82,Unknown,Nested,2,2,2,False,False,True,False,True,25,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,Unknown,Unknown,Unknown,0.23,Terminate,1.563355684,Terminate,2.41,Terminate,2.89,Terminate,1.33,Terminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.64,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_array02_alloca.c,failed,Failed,Failed,0.24,Failed,0.47786808,Unknown,3.52,Unknown,3.51,Unknown,1.61,Unknown,269.36,Terminate,Unknown,Terminate,timeout,TIMEOUT,300.01,Unknown,Nested,3,2,3,False,False,True,True,True,29,C,loop,,False,False,False
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,Unknown,Unknown,Unknown,1.44,Terminate,8.93021965,Unknown,8.13,Unknown,5.44,Unknown,3.49,Unknown,270.84,Terminate,Terminate,Terminate,Terminate,Terminate,5.62,Unknown,Nested,2,2,2,False,False,True,False,False,33,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,Unknown,Unknown,Unknown,0.57,Terminate,4.663552046,Terminate,4.55,TIMEOUT,300.05,Terminate,2.13,Terminate,2.59,Terminate,Terminate,Terminate,timeout,Terminate,5.34,Terminate,Nested,3,2,6,False,False,True,False,True,33,C,loop,,False,True,True
svcomp_b.16-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.344576597,Unknown,3.78,Unknown,4.58,Unknown,2.55,Unknown,288.86,Terminate,Terminate,Terminate,Terminate,Terminate,5.06,Unknown,Nested,2,2,2,False,False,True,False,True,26,C,loop,,False,False,False
svcomp_cstrncpy_alloca.c,failed,"ERROR,UNKNOWN",Failed,0.23,Failed,0.344888687,Unknown,4.07,Unknown,4.14,Unknown,1.88,Unknown,265.15,Terminate,Unknown,Terminate,Terminate,Terminate,4.97,Unknown,Nested,2,2,2,True,False,True,True,True,42,C,loop,,False,False,False
svcomp_insertionsort_alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.469213724,Unknown,3.16,Unknown,3.44,Unknown,1.79,Unknown,271.01,Terminate,Unknown,Terminate,Terminate,Terminate,5.07,Unknown,Nested,2,2,5,False,False,True,True,True,26,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,failed,Failed,Unknown,0.42,Terminate,1.589332104,Terminate,2.96,Terminate,3.51,Terminate,1.58,Nonterminate,1.4,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_openbsd_cstrncpy_alloca.c,Unknown,Unknown,Failed,0.19,Failed,0.473563671,Unknown,4.01,Unknown,3.6,Unknown,2.17,Unknown,264.95,Terminate,Unknown,Terminate,Terminate,Unknown,10.71,Unknown,Nested,2,2,1,True,False,True,True,True,42,C,loop,,False,False,False
