file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
Et1_true.c,,,Terminate,0.18,Failed,0.332017422,Unknown,2.16,Failed,2.25,Unknown,1.08,Unknown,2.1,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,,0,0,0,False,False,True,False,False,42,C,recur,non-tail,False,False,False
NestedRecursion_1d_true-termination.c,,,Terminate,0.3,Failed,0.439768076,Unknown,2.14,Failed,2.21,Unknown,1.11,Unknown,1.71,Terminate,Terminate,Terminate,Failed,Terminate,6.62,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail,False,False,False
Et4_true.c,,,Terminate,0.27,Failed,0.434231043,Unknown,1.86,Failed,1.88,Unknown,1.14,Unknown,283.3,Terminate,Terminate,Terminate,Terminate,Terminate,4.66,Unknown,,0,0,0,False,False,True,False,True,49,C,recur,non-tail,False,False,False
sum_2x3_false-unreach-call.c,,,Terminate,0.19,Failed,0.319595098,Unknown,2.12,Failed,2.12,Unknown,1.08,Unknown,284.39,Terminate,Unknown,Terminate,Terminate,Terminate,3.95,Unknown,,0,0,0,False,False,True,False,False,18,C,recur,tail,False,False,False
fibo_5_false-unreach-call.c,,,Terminate,0.16,Failed,0.333745003,Unknown,2.09,Failed,2.19,Unknown,1.09,Unknown,1.77,Terminate,Unknown,Terminate,Failed,Terminate,9.37,Unknown,,0,0,0,False,False,True,False,False,30,C,recur,non-tail,False,False,False
TwoWay_true.c,,,Terminate,0.28,Failed,0.328836918,Unknown,2.22,Failed,2.21,Unknown,1.07,Unknown,283.58,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,,0,0,0,False,False,True,False,True,50,C,recur,non-tail,False,False,False
nondet_ll_init_rec.c,,,Terminate,0.47,Failed,0.345979214,Unknown,1.91,Failed,1.94,Unknown,1.23,Unknown,286.32,Terminate,timeout,Terminate,Failed,Terminate,4.61,Unknown,,0,0,0,False,False,True,False,True,23,C,recur,non-tail,False,False,False
nondet_ll_traverse_rec.c,,,Terminate,0.46,Failed,0.477694273,Unknown,2.44,Unknown,2.68,Unknown,1.23,Unknown,1.36,Terminate,timeout,Terminate,Failed,Unknown,17.3,Unknown,,0,0,0,False,False,True,False,True,30,C,recur,non-tail,False,False,False
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,,,Terminate,0.31,Failed,0.445439577,Unknown,2.15,Failed,2.14,Unknown,1.14,Unknown,1.21,Terminate,Terminate,Terminate,Terminate,Terminate,5.62,Unknown,,0,0,0,False,False,True,False,True,40,C,recur,tail,False,False,False
afterrec_2calls_false-unreach-call.c,,,Unknown,0.09,Failed,0.434861183,Unknown,2.09,Failed,2.15,Unknown,1.21,Unknown,2.27,Terminate,Unknown,Terminate,Failed,Terminate,3.86,Unknown,,0,0,0,False,False,True,False,False,22,C,recur,non-tail,False,False,False
id_i10_o10_false-unreach-call.c,,,Terminate,0.18,Failed,0.444696665,Unknown,1.69,Failed,1.75,Unknown,1.07,Unknown,1.69,Terminate,Unknown,Terminate,Terminate,Terminate,4.74,Unknown,,0,0,0,False,False,True,False,False,15,C,recur,non-tail,False,False,False
