file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
svcomp_b.01-alloca.c,failed,Failed,Failed,0.24,Failed,0.469380379,Unknown,3.86,Unknown,4.01,Unknown,1.89,Nonterminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,4.1,Unknown,Linear,1,1,2,False,False,True,False,True,22,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,Unknown,Unknown,Unknown,0.23,Terminate,1.563355684,Terminate,2.41,Terminate,2.89,Terminate,1.33,Terminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.64,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_b.07.c,failed,Failed,Terminate,0.24,Terminate,1.425033331,Terminate,3.06,Terminate,3.66,Terminate,1.45,Terminate,1.54,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,,False,True,True
svcomp_openbsd_cbzero_alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.344233751,Unknown,3.19,Unknown,3.22,Unknown,1.47,Unknown,271.51,Terminate,Unknown,Terminate,Terminate,Unknown,9.74,Unknown,Linear,1,1,1,False,False,True,False,True,30,C,loop,,False,False,False
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,Unknown,Unknown,Unknown,6.23,Terminate,2.803284168,Terminate,3.49,Terminate,4.12,Terminate,1.67,Terminate,1.78,Terminate,Terminate,Terminate,Terminate,Terminate,3.76,Terminate,Linear,1,1,2,False,False,True,False,False,27,C,loop,,False,True,True
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,failed,Failed,Unknown,2.17,Terminate,23.1144588,Terminate,3.46,Terminate,4.76,Terminate,1.9,Terminate,2.19,Terminate,Terminate,Terminate,Terminate,Terminate,4.64,Terminate,Linear,1,1,3,False,False,True,False,True,32,C,loop,,False,True,True
Benghazi_nondet_true-termination.c,failed,Failed,Unknown,163.16,Terminate,2.094527721,Terminate,3.46,TIMEOUT,300.04,Terminate,1.91,Terminate,2.14,Terminate,Terminate,Terminate,Terminate,Terminate,3.92,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,failed,Failed,Terminate,0.28,Terminate,1.546123505,Terminate,2.58,Terminate,3.21,Terminate,1.45,Terminate,1.55,Terminate,Terminate,Terminate,Terminate,Terminate,3.97,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,,False,True,True
Masse-VMCAI2014-Ex6_true-termination.c,Unknown,Unknown,Terminate,0.23,Terminate,2.071326494,Unknown,2.69,Unknown,2.78,Unknown,1.33,Unknown,297.12,Terminate,Terminate,Terminate,Terminate,Terminate,4.38,Unknown,Linear,1,1,1,False,False,True,False,False,24,C,loop,,False,False,False
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,Unknown,Unknown,Terminate,0.3,Terminate,1.739848137,Terminate,2.67,Terminate,3.5,Terminate,1.5,Terminate,1.67,Terminate,Terminate,Terminate,Terminate,Terminate,3.84,Terminate,Linear,1,1,1,False,False,True,False,False,29,C,loop,,False,True,True
svcomp_b.09_assume-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.348290682,Unknown,2.8,Unknown,3.61,Unknown,1.94,Unknown,291.75,Terminate,Terminate,Terminate,Terminate,Terminate,76.65,Unknown,Linear,1,1,1,False,False,True,False,True,34,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,failed,Failed,Unknown,0.42,Terminate,1.589332104,Terminate,2.96,Terminate,3.51,Terminate,1.58,Nonterminate,1.4,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,,False,True,True
svcomp_c.07.c,failed,Failed,Terminate,0.39,Terminate,1.741048336,Terminate,3.17,Terminate,4.93,Terminate,1.54,Terminate,1.75,Terminate,Terminate,Terminate,Terminate,Terminate,4.0,Terminate,Linear,1,1,1,False,False,True,False,True,18,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,failed,Failed,Terminate,0.25,Terminate,9.721589327,Terminate,4.06,Terminate,5.62,Terminate,2.07,Terminate,2.36,Terminate,Terminate,Terminate,Terminate,Terminate,4.69,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,,False,True,True
svcomp_Toulouse-BranchesToLoop_true-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.470495701,Unknown,6.42,Unknown,7.13,Unknown,3.83,Nonterminate,1.67,Terminate,Terminate,Terminate,Terminate,Terminate,4.46,Unknown,Linear,1,1,2,False,False,True,False,True,21,C,loop,,False,False,False
svcomp_b.07-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.471010923,Unknown,5.08,Unknown,5.04,Unknown,2.65,Unknown,288.41,Terminate,Terminate,Terminate,Terminate,Terminate,4.36,Unknown,Linear,1,1,2,False,False,True,False,True,25,C,loop,,False,False,False
svcomp_b.03_assume.c,Unknown,Unknown,Unknown,0.25,Terminate,1.604349852,Unknown,2.53,Unknown,2.65,Unknown,1.39,Unknown,297.21,Terminate,Terminate,Terminate,Terminate,Terminate,3.76,Unknown,Linear,1,1,2,False,False,True,False,False,22,C,loop,,False,False,False
Masse-VMCAI2014-Fig1a_true-termination.c,failed,Failed,Terminate,0.41,Terminate,2.27529192,Unknown,2.45,Unknown,2.88,Unknown,1.54,Unknown,294.08,Terminate,Terminate,Terminate,Terminate,Terminate,4.67,Unknown,Linear,1,1,1,False,False,True,False,False,26,C,loop,,False,False,False
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,Unknown,Unknown,Terminate,0.12,Unknown,4.329362631,Unknown,2.83,Unknown,3.12,Unknown,1.55,Unknown,296.63,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Unknown,Linear,1,1,1,False,False,True,False,True,21,C,loop,,False,False,False
Bangalore_true-termination.c,Unknown,Unknown,Terminate,0.14,Terminate,0.985501289,Terminate,2.67,Terminate,3.04,Terminate,1.48,Terminate,1.53,Terminate,Terminate,Terminate,Terminate,Terminate,3.79,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,,False,True,True
Overflow.c,Unknown,Unknown,Unknown,0.07,Terminate,0.819419384,Terminate,2.14,Terminate,2.56,Terminate,1.53,Terminate,1.65,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Terminate,Linear,1,1,1,False,False,True,False,False,14,C,loop,,False,True,True
PastaB3.c,Unknown,Unknown,Unknown,0.24,Terminate,1.462812185,Unknown,2.77,Unknown,3.01,Unknown,1.44,Unknown,297.35,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Unknown,Linear,1,1,2,False,False,True,False,False,18,C,loop,,False,False,False
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,Unknown,Unknown,Unknown,1.0,Terminate,17.41599131,Terminate,9.28,Terminate,9.65,Terminate,4.04,Terminate,4.27,timeout,Terminate,Terminate,Terminate,TIMEOUT,300.01,Terminate,Linear,1,1,3,False,False,True,False,True,34,C,loop,,False,True,True
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,Unknown,Unknown,Unknown,8.09,Nonterminate,4.00972414,Terminate,9.49,Terminate,61.39,Terminate,5.94,Terminate,6.06,Terminate,Unknown,MAYBE,Terminate,Unknown,4.95,Terminate,Linear,1,1,1,False,False,True,False,True,19,C,loop,,False,True,True
svcomp_java_Continue1-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.348927021,Unknown,2.55,Unknown,2.3,Unknown,1.32,Unknown,296.98,Terminate,Terminate,Terminate,Terminate,Terminate,5.91,Unknown,Linear,1,1,1,False,False,True,False,True,15,C,loop,,False,False,False
LeikeHeizmann-TACAS2014-Fig1_true-termination.c,failed,Failed,Unknown,0.98,Terminate,1.62724638,Terminate,3.39,Terminate,4.42,Terminate,1.65,Terminate,1.8,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,,False,True,True
svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.47329092,Unknown,2.74,Unknown,2.97,Unknown,1.54,Unknown,285.91,Terminate,Terminate,Terminate,Terminate,Terminate,3.93,Unknown,Linear,1,1,1,False,False,True,False,True,23,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,Unknown,Unknown,Terminate,0.11,Terminate,0.882511854,Terminate,2.83,Terminate,3.3,Terminate,1.46,Terminate,1.47,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,False,False,True,False,False,17,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,failed,Failed,Terminate,0.53,Terminate,2.187636614,Terminate,4.88,Terminate,3.42,Terminate,2.28,Terminate,2.7,Terminate,Terminate,Terminate,Terminate,Terminate,4.05,Terminate,Linear,1,1,1,False,False,True,False,False,33,C,loop,,False,True,True
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,failed,Failed,Unknown,0.83,Terminate,1.605215311,Terminate,2.81,Terminate,3.27,Terminate,1.71,Terminate,1.48,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,,False,True,True
